용어,용례
F-2,"['또한 F-22, F-35 등 스텔스 전투기, P-8 포세이돈 해상초계기, 버지니아급 핵잠수함, 해저 무인잠수정, 전략폭격기 등 해·공군 첨단전력을 아태 지역에 배치하고 있다.', '한미 연합공군훈련 (12.21~22)*F-22, B-52H 전략자산 전개외무성 대변인 담화 발표*\x07미국이 북의 자위권 행사를 비난하려는 안보리 의장성명 추진 비난외무성 대변인 대답*일본언론의 ‘북러무기거래설’ 보도에 사실무근 주장단거리 탄도미사일 발사 (평양 순안)12.23.', '2016년 1월 사업착수회의를 시작으로 ‘최초의 국산 전투기 개발’이라는 대장정에 올랐고 2019년 KF-21 시제기 제작에 돌입하여 사업착수 5년만인 2021년 4월 9일에 KF-21 시제 1호기의 출고행사를 진행하였다.', '공중분야는 방위권역 내 공중우세확보와 전략표적에 대한 타격능력 제고를 위해 KF-21 전력화, KF-16·F-15K 성능개량을 추진할 것이다.', '전투기 개발은 대규모의 예산과 시간 투자가 필요한 국가적인 사업이며, KF-21 전투기 사업도 20조원 이상의 예산을 투자하여 다양한 첨단기술 구현 등을 위해 10년 이상 소요되는 사업이다.', '2014년 KF-21의 개발 총사업비가 확정되었고 2015년 체계개발 주관업체로 한국항공(KAI)이 선정되었다.', 'F-22의 지상공격 및 전자전 능력을 보강하고 있으며, B-2, B-52를 대체할 장거리타격폭격기(LRS-B26))를 개발 중이다.', '시제기(2021년 4월)KF-21 최초비행(2022년 7월)특별부록     327해군은 성공적인 사업 추진을 위해 기존의 독일 잠수함 도입과정에서 확보한 잠수함 설계 및 건조기술, 수십년간의 잠수함 운용경험, 그리고 국방과학기술연구소, 한국기계연구원, 서울대 등 연구소·대학의 보유기술 등의 모든 역량을 집결시켰다.', '현재 연합지휘구조韓 국방부SCM美 국방부美 합참韓 합참연합구성군사령부연합군사령부 연합참모MCM지정된 한국군 부대★★★★미군사령관★★★한국군부사령관지정된 미군 부대저작권 전환 이후 연합지휘구조(안)韓 국방부SCM美 국방부美 합참韓 합참연합구성군사령부연합군사령부 연합참모MCM지정된 한국군 부대★★★★한국군사령관★★★미군부사령관지정된 미군 부대B-52와 F-22 한반도 전개308    2022 국방백서한미 정상회담 (2022.5.21.)양 정상은 공동의 정치, 경제, 안보, 그리고 양국 국민 간 유대를 심화시키고 넓혀 나가겠다는 공통의 결의를 가지고 단합하기로 하였다.', '또한 F-22, F-35 등 스텔스 전투기, P-8 포세이돈 해상초계기, 버지니아급 핵잠수함, 해저 무인잠수정, 전략폭격기 등 해\u2006・\u2006공군 첨단전력을 아태 지역에 배치하고 있다.', '2016년 북한의 4차·5차 핵실험과 장거리 미사일 발사 3)\u3000\x07Cyber Cooperation Working Group4)\u3000\x07Key Resolve5)\u3000\x07Foal Eagle6)\u3000\x07Security Consultative Meeting 7)\u3000\x07한미 군사당국 간 최고위급 협의체로서 연례적으로 양국 합참에서 개최(MCM : Military Committee Meeting)8)\u3000\x07다양한 한미 국방 협의체들을 통합하여 운영함으로써 효율성과 효과성을 높일 목적으로 2012년부터 운영(KIDD : Korea-US Integrated Defense Dialogue)미2사단 창설 100주년 및 한미연합사단 창설 기념 행사(2016년 12월)132  제5장 한미동맹 발전 및 국방 교류협력의 외연 확대후 미 공군의 B-52·B-1B 장거리 폭격기와 F-22 스텔스 전투기, 노스캐롤라이나 핵잠수함, 스테니스 항모전단 등을 전개하여 전략적 억제를 달성하였다.', '1) Korea Defense Industry Trade Support Center : 방산물자교역지원센터KF-21 보라매첫 초음속 비행 성공326    2022 국방백서그러나, 관계관들의 심도깊은 검토와 논의 끝에 2010년 제41차 방위사업추진위원회에서 사업추진기본전략 심의·승인을 통해 획득방안(국내 연구개발)과 개발주관기관(국과연 주관 탐색개발, 업체 주관 체계개발)을 결정하였고, 2011년∼2012년 탐색개발을 실시하여 KF-21의 체계개발 가능성을 확인하였다.', 'KF-21은 길이 16.9m, 높이 4.7m, 폭 11.2m로, 크기가 F-15보다 작지만 F-16보다는 크며, 단좌형상과 복좌형상을 모두 개발하고 있다.', '공군은최첨단전투기인F-221개대대를최초로괌에순환전개하는것을추진하고있다.', 'KF-21 시제 1호기 출고일에 맞춰 그동안 KF-X로 불렸던 시제기의 고유명칭을 KF-21로, 통상명칭을 보라매로 공표하였다.', '인도네시아와는 ‘특별전략적 동반자 관계’를 바탕으로 차세대 전투기(KF-21/Indonesian Fighter eXperimental) 공동개발, 고위급 교류, 대테러 연합훈련 등 국방·방산 분야에서 활발하게 협력하고 있다.', 'F-22 Rapter항공모함조지워싱턴함10) C4I2  자위대의지휘통제시스템으로2006년3월통합막료감부창설에따라자위대의통합운용을중시하여기존C4I( Command,Control, Communication, Computer& Intelligence ) 에상호운용성( Interoperability ) 을추가하여C4I2 로명칭을변경하였다.', '군사과학 무기·기술 개발 사례최초의 국산 전투기, ‘KF-21’KF-21은 21세기 한반도 영공을 수호할 최초의 국산 전투기로, 현재 운용중인 F-4, F-5 전투기 도태에 따른 대체 전력이자 공군의 기반전력으로 활용하기 위해 개발되고 있다.', 'F-22, F-35 등 스텔스 전투기, P-8 포세이돈 해상초계기, 버지니아급 핵잠수함, 항공모함, 전략폭격기 등 해·공군 핵심전력을 인도·태평양 지역에 배치하고 있다.', '북한의 3차 핵실험 직후인 2013년 3\u2009~\u20094월에는 B-2, B-52 전략폭격기, F-22 제5세대 전투기, 잠수함, 항공모함 등이 한반도에 긴급하게 전개되어 전략적 억제를 달성하였다.', '2011~2015년 「중기방위력정비계획」 기간 중 노후한 F-4의 후속기로 미국의 F-35 도입을 추진 중이며, F-15와 F-2 전투기의 성능개량 작업을 병행하고 있다.', '공중전력 분야는 전방위 위협에 대한 주도적 억제 및 대응이 가능하도록 은밀침투, 장거리 정밀타격 능력을 구축하고 작전지역 내 공중우세를 달성하기 위해 차기전투기(F-X 2차), 한국형전투기(KF-21), F-15K 성능개량, 대형수송기, 전천후 정밀유도무기 등을 점진적으로 확보해 나갈 것이다.', '•현안보고(국방부 소관)•「광주군 공항 이전을 위한 특별법안」 등 법률안 상정동영상국군 홍보영상p047육군 홍보영상p047해군 홍보영상p048공군 홍보영상p049해병대 홍보영상p048태풍 힌남노 피해 지원p072육군 KCTC 여단급 쌍방훈련p087해군 환태평양훈련(RIMPAC)p089한미 공군 이동식발사대 타격훈련 및 연합 공격편대군 비행p089고체추진 우주발사체 시험발사p127군 장병 AI·SW 역량강화 사업p119예비군 교육훈련 소집통지서 모바일 송달 시행p137DX KOREA 2022p146제54차 한미안보협의회의(SCM)p152한미 해군, 동해 연합 해상훈련p163美 전략폭격기(B-1B) 한반도 재전개, 한미 연합공중훈련 실시p1632022년 서울안보대화(SDD)p189바다의 날 청해부대 UDT 해상훈련p2022022 국군 화보 프로젝트 ‘강한 국군’p225공익광고 ‘70년의 기다림’p226청년Dream 국군드림 앱, 고속버스 모바일 서비스p228병역명문가 선양사업p232백마고지 유해발굴p275KF-21 보라매 첫 초음속 비행 성공p327색인ㄱ고고도정찰용무인항공기58과학화경계시스템51국군외상센터214, 216국군포로101, 102, 103국군화생방방어연구소69국방AI센터109, 115, 116, 259국방과학연구소68, 127, 143국방부 유해발굴감식단274, 275국방우주발전위원회122국방인권모니터단290국방정신전력원87, 95국방헬프콜센터285, 286군 공항 이전240, 241군 직무표준화249, 250, 251군무원 종합발전계획263군비통제검증단376군인권개선추진단290, 291군인권보호관291군인권지키미시스템290군인연금제도273, 274군인재해보상법278국제평화지원단206, 208, 315가상현실117, 136, 142국제평화활동센터205, 206, 207, 208국방안전훈령218, 219국민소통전문가단225국방정보공개 국민참여단226국민정책디자인단226군사시설 보호구역228, 239, 240국군장병 취엄박람회249, 279국가직무능력표준250ㄴ남북공동연락사무소23남북공동유해발굴98ㄷ다련장47, 50, 132, 133, 258담대한 구상23, 38, 97, 98, 100, 155, 190대량살상무기 확산방지구상 훈련193대량응징보복57, 60, 61, 108, 130, 255, 258 대륙간탄도미사일15, 16, 30, 163대체복무제도231, 295대한민국방위산업전146동명부대196, 197, 198, 209, 309, 310311드론 택배113드론봇 전투체계48ㄹ룬샷 프로젝트140ㅁ마일즈82, 255무인수상정133무인잠수정18, 128, 133무인항공기18, 49, 51, 58, 130, 132, 133, 208, 258미래도전국방기술127, 139, 140민군상생 복합타운242, 243메디온216ㅂ방위력개선비131, 132, 172, 254, 255, 257, 258방위비분담금156, 157, 158방위비분담특별협정156, 157병역명문가232북방한계선52, 88비무장지대98, 226, 275비질런트 스톰164ㅅ서울안보대화11, 66, 101, 126, 183, 188, 189, 190순항훈련85, 88, 89스마트 인재관리체계221, 234, 235스마트팩토리54스톡홀름 합의24신뢰성기반비용관리224신속시범획득사업107, 144상륙돌격장갑차133성실수행 인정제도139, 140상호군수지원협정195상태기반정비54, 221, 222상생발전협의회243선택형 급식체계264ㅇ아세안 지역안보포럼189아세안확대국방장관회의10, 11, 13, 66, 74, 174, 175, 177, 178, 179, 189, 191, 206, 207아크부대183, 203, 204, 209, 309, 310, 316, 317아태경제협력체10아프리카돼지열병69, 73, 74연합지휘소 훈련54, 92, 166, 167오쉬노부대200, 209, 309, 310, 313, 314우주안보워킹그룹126, 190원격정비지원체계54유엔 남수단임무단198, 199유엔 평화유지 장관회의188, 204, 208, 309, 317유휴·방치시설242인플루엔자74, 218ㅈ자산형성프로그램269, 270잠수함발사탄도미사일15, 31, 327재난대응 안전한국훈련69, 72전쟁기념관95지휘소연습91, 166, 169중고도정찰용무인항공기49, 51, 58, 130, 132, 258자기개발비용지원 제도246적극행정 모니터링단226ㅊ창업경진대회247천무147, 172, 323, 324청렴국방 민관협의회227청해부대184, 188, 200, 201, 202, 209, 309, 310, 313, 315, 316청렴옴부즈만 제도227창업지원 프로젝트246, 247ㅋ킬체인57, 59, 130, 172, 255, 258코브라훈련88, 91칸퀘스트훈련91카만닥훈련91, 178ㅌ탄약 비군사화244, 245태평양억제구상15통합방위협의회78, 79ㅍ플루토늄29팔레스타인 정전감시단196ㅎ한국형 3축체계23, 38, 41, 57, 108, 110, 128, 129, 130, 133, 255, 257, 258한국형미사일방어49, 57, 59, 130, 133, 255, 258한미안보협의회의54, 125, 152, 154, 158, 160,  161, 164, 165, 170, 172, 173, 194한미확장억제전략협의체161한빛부대196, 198, 199, 205, 209, 309, 310, 312, 317한일군사비밀정보보호협정174해외긴급구호대75화이트햇 콘테스트64환태평양훈련88, 91, 304힌남노72, 74한미대량살상무기대응위원회70한미상호방위조약50, 160, 301, 302화랑훈련68, 80, 91, 92화학무기금지기구69, 70, 71, 101해외파병 상비부대208, 209, 309AADEX146, 158, 178, 182, 187, 225ADMM-Plus10, 13, 66, 74, 177, 178, 179, 189, 190, 191, 206, 207APS50AR84, 117, 118ARF11, 189, 191ASF69, 73, 74APEC10AOIP13AI42, 51, 68, 73, 84, 94, 95, 108, 109, 110, 111, 112, 115, 118, 129, 144, 221, 235, 259AUKUS19BBRICS18BWC192BCTP88CCCPT54, 92, 166, 167CCWG65, 154CIS18CPX91, 166CSTO9, 18CWC71, 101, 192CWMDC70CYBERNET67CBM+54, 222DDSC161, 162, 163, 165DX-Korea146EEDSCG161e-MU246e-Nav81EU9, 13FFA-50146, 147, 323, 324FDO50FOC167, 171, 173GGSOMIA174GFP15GOP51, 115, 116, 129, 270HHEU29HGV16HUAV58IICBM15, 18, 21, 22, 23, 29, 30, 31, 98, 163IOC171, 173IoT54, 65IRBM31, 155, 164JJCPOA9KKAAV72, 131KADIZ176KAMD57, 59, 129, 172, 255, 258KASI153, 177KCTC87, 88, 92KDRT75, 203KF-21131, 177, 258, 325, 326KIDD154, 161, 165KMPR57, 60, 61, 130, 255, 258LL-SAM60, 132MMADEX146MDL348, 350, 352MUAV58NNASA127NATO\t9, 10, 14, 67, 70, 101, 163, 185 186NDS8, 14NLL23, 31, 39, 52, 88, 98NPR162NPT101, 192, 305NSS8, 14OOPCW69, 70, 101PPBL55, 224PDI15PKO179, 182, 183, 204, 205, 206, 207, 208, 310, 312, 317RRAA19RHCC11RAM-C55, 224RIMPAC88, 89, 91, 304SSCM54, 125, 152, 154, 160, 162, 163, 165, 170, 171, 172, 173SCO8, 9, 18SDD11, 66, 101, 188, 189SLBM15, 28, 31, 155, 258, 327SMA91, 156SOFA19, 156, 241, 302, 320SPD54SPG54SSA18, 124SAREX89TTPFDD50UUAV18, 271UNOCT68UFS54, 92, 166, 167, 168, 173USV18UUV18VVR84, 95, 117, 118, 136, 255WWMD25, 37, 38, 41, 60, 61, 101, 128, 130, 133, 161, 163, 193YYRP306, 319 발행일\t2023년 2월발행\t대한민국 국방부편찬\t정책기획관실 국방전략과편집디자인\t㈜다니기획본 책자의 내용에 관한 문의사항은 국방부 국방전략과(02-748-6237)로 연락하여 주시기 바랍니다.', '군사적으로는 새로운 작전 요구사항을 반영하여 ‘국제공역에서의 접근과 기동을 위한 합동 개념(JAM-GC)’25) 등 합동전투 개념을 발전시키고 F-22, F-35 등 스텔스 전투기, P-8 포세이돈 해상초계기, 버지니아급 핵잠수함, 해저 무인잠수정, 전략폭격기 등 해·공군 첨단전력을 아태 지역에 배치하고 있다.', '또한 F-22의 지상공격과 전자전 능력을 보강하고 있으며, B-2와 B-52를 대체할 장거리타격폭격기(LRS-B19))를 개발 중이다.', '이에 한미동맹은 美 B-52·B-1B 장거리 폭격기와 F-22 스텔스 전투기, 핵잠수함, 항모전단 등 미국 전략자산의 적시적 전개를 통해 전략적 억제를 시행하고 있다.', 'B-52와 F-22 한반도 전개향후 주기적인 연합 연습과 훈련을 통해 연합 작전계획을 보완하고 다양한 국방협의체를 통해 동맹 현안을 안정적으로 관리하여 연합방위태세를 지속적으로 강화해 나갈 것이다.', 'KF-21의 국내개발은 전투기 핵심부품 산업분야의 기반을 확충하고, 독자개발 능력을 확보함으로써 민수분야의 국제협력 가능성을 증대시켰으며, 세계 군용기 시장에서 우리 전투기의 수출경쟁력이 제고되어 생산량 증가에 따른 가격 인하 및 군수지원 적시성 확보 등의 효과를 발휘할 것이다.', '로켓군은 핵 반격 능력과 중\u2006・\u2006장거리 정밀타격능력 향상에 주력하는 가운데 차세대 중\u2006・\u2006장거리 탄도미사일인 DF-26과 새로운 대륙간탄도미사일(ICBM)인 DF-41의 전략화를 추진 중이다.']"
알레이버크급 구축함,"['해군은 병력 규모를 현재 33만 5,400명에서 5,100명을 증원하고, 버지니아급 잠수함 2척, 알레이버크급 구축함 3척, 신형 포드급 항공모함 1척 등 함정 18척의 전력구축 사업을 승인하였다.']"
Ju 52 수송기,[]
X-37B,[]
미니트맨,[]
M8 정찰장갑차,[]
PAK FA,[]
포케불프 Fw 190,[]
천무,"['2022년에는 M-SAM II(2022년 1월, UAE), K9 자주포(2022년 2월, 이집트/2022년 8월, 폴란드), 원양경비함(2022년 6월, 필리핀), K2 전차(2022년 8월, 폴란드), FA-50(2022년 9월, 폴란드), 천무(2022년 11월, 폴란드) 등 대규모 수주계약이 연달아 체결되며 방산수출 역사상 최대규모인 173억불의 방산수출 실적을 달성하였고, 폴란드와의 대규모 계약이 체결됨에 따라 방산수출 대상 권역이 중동·아시아 위주에서 유럽지역까지 확장하는 계기를 마련하였다.', '•현안보고(국방부 소관)•「광주군 공항 이전을 위한 특별법안」 등 법률안 상정동영상국군 홍보영상p047육군 홍보영상p047해군 홍보영상p048공군 홍보영상p049해병대 홍보영상p048태풍 힌남노 피해 지원p072육군 KCTC 여단급 쌍방훈련p087해군 환태평양훈련(RIMPAC)p089한미 공군 이동식발사대 타격훈련 및 연합 공격편대군 비행p089고체추진 우주발사체 시험발사p127군 장병 AI·SW 역량강화 사업p119예비군 교육훈련 소집통지서 모바일 송달 시행p137DX KOREA 2022p146제54차 한미안보협의회의(SCM)p152한미 해군, 동해 연합 해상훈련p163美 전략폭격기(B-1B) 한반도 재전개, 한미 연합공중훈련 실시p1632022년 서울안보대화(SDD)p189바다의 날 청해부대 UDT 해상훈련p2022022 국군 화보 프로젝트 ‘강한 국군’p225공익광고 ‘70년의 기다림’p226청년Dream 국군드림 앱, 고속버스 모바일 서비스p228병역명문가 선양사업p232백마고지 유해발굴p275KF-21 보라매 첫 초음속 비행 성공p327색인ㄱ고고도정찰용무인항공기58과학화경계시스템51국군외상센터214, 216국군포로101, 102, 103국군화생방방어연구소69국방AI센터109, 115, 116, 259국방과학연구소68, 127, 143국방부 유해발굴감식단274, 275국방우주발전위원회122국방인권모니터단290국방정신전력원87, 95국방헬프콜센터285, 286군 공항 이전240, 241군 직무표준화249, 250, 251군무원 종합발전계획263군비통제검증단376군인권개선추진단290, 291군인권보호관291군인권지키미시스템290군인연금제도273, 274군인재해보상법278국제평화지원단206, 208, 315가상현실117, 136, 142국제평화활동센터205, 206, 207, 208국방안전훈령218, 219국민소통전문가단225국방정보공개 국민참여단226국민정책디자인단226군사시설 보호구역228, 239, 240국군장병 취엄박람회249, 279국가직무능력표준250ㄴ남북공동연락사무소23남북공동유해발굴98ㄷ다련장47, 50, 132, 133, 258담대한 구상23, 38, 97, 98, 100, 155, 190대량살상무기 확산방지구상 훈련193대량응징보복57, 60, 61, 108, 130, 255, 258 대륙간탄도미사일15, 16, 30, 163대체복무제도231, 295대한민국방위산업전146동명부대196, 197, 198, 209, 309, 310311드론 택배113드론봇 전투체계48ㄹ룬샷 프로젝트140ㅁ마일즈82, 255무인수상정133무인잠수정18, 128, 133무인항공기18, 49, 51, 58, 130, 132, 133, 208, 258미래도전국방기술127, 139, 140민군상생 복합타운242, 243메디온216ㅂ방위력개선비131, 132, 172, 254, 255, 257, 258방위비분담금156, 157, 158방위비분담특별협정156, 157병역명문가232북방한계선52, 88비무장지대98, 226, 275비질런트 스톰164ㅅ서울안보대화11, 66, 101, 126, 183, 188, 189, 190순항훈련85, 88, 89스마트 인재관리체계221, 234, 235스마트팩토리54스톡홀름 합의24신뢰성기반비용관리224신속시범획득사업107, 144상륙돌격장갑차133성실수행 인정제도139, 140상호군수지원협정195상태기반정비54, 221, 222상생발전협의회243선택형 급식체계264ㅇ아세안 지역안보포럼189아세안확대국방장관회의10, 11, 13, 66, 74, 174, 175, 177, 178, 179, 189, 191, 206, 207아크부대183, 203, 204, 209, 309, 310, 316, 317아태경제협력체10아프리카돼지열병69, 73, 74연합지휘소 훈련54, 92, 166, 167오쉬노부대200, 209, 309, 310, 313, 314우주안보워킹그룹126, 190원격정비지원체계54유엔 남수단임무단198, 199유엔 평화유지 장관회의188, 204, 208, 309, 317유휴·방치시설242인플루엔자74, 218ㅈ자산형성프로그램269, 270잠수함발사탄도미사일15, 31, 327재난대응 안전한국훈련69, 72전쟁기념관95지휘소연습91, 166, 169중고도정찰용무인항공기49, 51, 58, 130, 132, 258자기개발비용지원 제도246적극행정 모니터링단226ㅊ창업경진대회247천무147, 172, 323, 324청렴국방 민관협의회227청해부대184, 188, 200, 201, 202, 209, 309, 310, 313, 315, 316청렴옴부즈만 제도227창업지원 프로젝트246, 247ㅋ킬체인57, 59, 130, 172, 255, 258코브라훈련88, 91칸퀘스트훈련91카만닥훈련91, 178ㅌ탄약 비군사화244, 245태평양억제구상15통합방위협의회78, 79ㅍ플루토늄29팔레스타인 정전감시단196ㅎ한국형 3축체계23, 38, 41, 57, 108, 110, 128, 129, 130, 133, 255, 257, 258한국형미사일방어49, 57, 59, 130, 133, 255, 258한미안보협의회의54, 125, 152, 154, 158, 160,  161, 164, 165, 170, 172, 173, 194한미확장억제전략협의체161한빛부대196, 198, 199, 205, 209, 309, 310, 312, 317한일군사비밀정보보호협정174해외긴급구호대75화이트햇 콘테스트64환태평양훈련88, 91, 304힌남노72, 74한미대량살상무기대응위원회70한미상호방위조약50, 160, 301, 302화랑훈련68, 80, 91, 92화학무기금지기구69, 70, 71, 101해외파병 상비부대208, 209, 309AADEX146, 158, 178, 182, 187, 225ADMM-Plus10, 13, 66, 74, 177, 178, 179, 189, 190, 191, 206, 207APS50AR84, 117, 118ARF11, 189, 191ASF69, 73, 74APEC10AOIP13AI42, 51, 68, 73, 84, 94, 95, 108, 109, 110, 111, 112, 115, 118, 129, 144, 221, 235, 259AUKUS19BBRICS18BWC192BCTP88CCCPT54, 92, 166, 167CCWG65, 154CIS18CPX91, 166CSTO9, 18CWC71, 101, 192CWMDC70CYBERNET67CBM+54, 222DDSC161, 162, 163, 165DX-Korea146EEDSCG161e-MU246e-Nav81EU9, 13FFA-50146, 147, 323, 324FDO50FOC167, 171, 173GGSOMIA174GFP15GOP51, 115, 116, 129, 270HHEU29HGV16HUAV58IICBM15, 18, 21, 22, 23, 29, 30, 31, 98, 163IOC171, 173IoT54, 65IRBM31, 155, 164JJCPOA9KKAAV72, 131KADIZ176KAMD57, 59, 129, 172, 255, 258KASI153, 177KCTC87, 88, 92KDRT75, 203KF-21131, 177, 258, 325, 326KIDD154, 161, 165KMPR57, 60, 61, 130, 255, 258LL-SAM60, 132MMADEX146MDL348, 350, 352MUAV58NNASA127NATO\t9, 10, 14, 67, 70, 101, 163, 185 186NDS8, 14NLL23, 31, 39, 52, 88, 98NPR162NPT101, 192, 305NSS8, 14OOPCW69, 70, 101PPBL55, 224PDI15PKO179, 182, 183, 204, 205, 206, 207, 208, 310, 312, 317RRAA19RHCC11RAM-C55, 224RIMPAC88, 89, 91, 304SSCM54, 125, 152, 154, 160, 162, 163, 165, 170, 171, 172, 173SCO8, 9, 18SDD11, 66, 101, 188, 189SLBM15, 28, 31, 155, 258, 327SMA91, 156SOFA19, 156, 241, 302, 320SPD54SPG54SSA18, 124SAREX89TTPFDD50UUAV18, 271UNOCT68UFS54, 92, 166, 167, 168, 173USV18UUV18VVR84, 95, 117, 118, 136, 255WWMD25, 37, 38, 41, 60, 61, 101, 128, 130, 133, 161, 163, 193YYRP306, 319 발행일\t2023년 2월발행\t대한민국 국방부편찬\t정책기획관실 국방전략과편집디자인\t㈜다니기획본 책자의 내용에 관한 문의사항은 국방부 국방전략과(02-748-6237)로 연락하여 주시기 바랍니다.', '우리 군은 지상전력 면에서 K2 전차, K9 자주포, 천무 등 세계 최고 수준의 전차와 화포를 전력화하고 다수의 아파치 공격헬기를 보유하고 있다.', '연 도2017년2018년2019년2020년2021년2022년주요 수출품목K-9 자주포 T-50K-9 자주포 청상어 어뢰T-50 KT-1BK-9 자주포 잠수함 해성 미사일K-9 자주포K-9 자주포  T-50 초계함MSAM IIK-9 자주포원양경비함K2 전차FA-50천무2017년∼2022년 주요 수출품목연도별 방산군수협력 양해각서 체결국 현황년도국가년도국가1988미국2008콜롬비아1991태국2009이집트1992스페인, 프랑스2010에콰도르, 우즈베키스탄, 페루, UAE, 노르웨이1993영국2011덴마크1994필리핀2014폴란드1995이스라엘, 인도네시아2015칠레, 체코1996캐나다2016핀란드, 헝가리1997독일, 러시아, 루마니아2017보츠와나, 에스토니아, 크로아티아, 사우디, 카자흐스탄1999네덜란드, 튀르키예, 베네수엘라2019아르헨티나, 뉴질랜드, 스웨덴, 파라과이2001베트남, 호주2020에티오피아2004방글라데시2021바레인, 요르단2005인도2022케냐, 그리스2006파키스탄, 우크라이나\xa0 \xa0체결국 수 : 48개국특별부록     325범부처 방산수출 지원체계 구축국방부와 방위사업청은 상대국의 다변화된 방산협력 요구에 대해 외교·안보·산업분야 등 관계 부처와의 협조를 통해 대응하고 있다.', '특히, 2022년에는 고정밀 유도미사일, 다기능레이더, 발사대, 교전통제소가 결합된 첨단 복합무기체계인 ‘천궁-Ⅱ’ 중거리 요격체계를 UAE에 최초로 수출하였고, 폴란드에 우리 군의 대표 무기체계인 K2전차, K9자주포, FA-50, 천무를 대규모로 수출하고 협력사업을 진행하는 등 우리 무기체계의 우수성과 높은 기술력을 대내·외적으로 널리 알렸다.']"
드라이제 바늘 총,[]
