용어,설명
"생물학전 [Biological Warfare, 生物學戰]","사람, 동물 및 식물을 살상하거나 물자에 피해를 주기 위하여 미생물이나 생물에서 나오는 독소를 고의적으로 운용하는 전쟁 형태."
"항콜린제 [Anticholinergic, 抗choline劑]","신경 전달 물질인 아세틸 콜린과 반대 작용을 하거나 콜린 효능을 차단하는 약물. 흡입하면 배뇨 장애, 변비, 두통, 현기증, 졸림, 체온 상승 등의 증상이 일어나는 무능화 작용제의 일종이다. 인체 제독은 비눗물로 하며, 눈은 깨끗한 물을 사용하여 씻고, 피복과 개인 장비는 흔들거나 솔질하고 가능한 한 철저히 씻어 낸다. 분해 온도는 약 170°C이며, 1~2시간 후 200°C에서 완전 분해된다. 저장"
"만유인력 상수 [Universal Gravitational Constant, 萬有引力常數]","만유인력 법칙에서 단위 거리만큼 떨어진 두 개의 단위 질량 사이에 작용하는 인력의 값. 만유인력은 다음과 같은 공식으로 나타낼 수 있는데, 비례 상수 G가 만유 인력 상수에 해당한다. F=G m m'/r2(m 및 m'는 두 물체의 질량, r은 두 물체 사이의 거리)."
임가공 [賃加工],"계약자가 기술적, 경제적인 이유로 계약품목의 일부부품 또는 생산공정의 일부를 타 업체로 하여금 제조 또는 가공처리하게 하거나 (부분 임가공), 계약물량(완제품 단위)의 일부 또는 전부를 타업체에 위탁하여 제조하게 하는 행위(완제품 임가공)로서 하청, 하도급과는 동의어로 사용된다."
"경제적 수리 한계 [Economic Repair Limits, 經濟的修理限界]","정비에 소요되는 비용과 정비 후 사용 가치를 비교하여 정비 및 폐기 여부를 결정하는 한계를 말한다. 즉 정비 비용이 어떤 한계 금액을 초과하면 비경제적이라고 판정하는 한계점이다. 경제적 수리 한계 적용 시 고려 사항은 전술적 가치, 대체 자금 획득 가능성, 장비 획득 및 도태 계획, 타 분야 활용도, 경제적 이점 등이다."
"표준 단가 화폐 단위 부호 [Standard Price Money Unit Code, 標準單價貨幣單位符號]","표준 단가를 화폐 단위별로 나타낼 때 사용되는 부호. 화폐 단위 부호는 다음과 같다. UD: 미국(달러), KW: 한국(원), JY: 일본(엔), DM: 독일(마르크), SP: 영국(파운드), FF: 프랑스(프랑), IL: 이탈리아(리라), 유로(€): 유럽 연합."
"질식 작용제 [Chohing Agent, Choking Agent, 窒息作用劑]","보호되지 않은 사람의 기관, 특히 폐에 손상을 주는 화학 작용제. 폐작용제(肺作用劑, pulmonary agent)라고도 하며, 심한 경우에는 폐에 액체가 충만하여 산소 결핍으로 질식 · 사망하게 된다. 이와 같은 형태의 사망은 마치 마른 땅에서 물에 빠져 죽은 모습과 비슷하므로 '육지 익사'라 부른다. 작용제에 노출되면 재채기가 나고 코가 시큰거리며 심할 경우 폐에 액체가 생성되어 24시간 이내에 사"
"해시 함수 [Hash, hash函數]","임의의 길이의 입력 메시지를 고정된 길이의 출력 값으로 압축시키는 함수. 데이터의 무결성 검증, 메시지 인증에 사용한다. 해시 함수는 일방향성과 충돌 회피성이라는 두 가지 성질을 만족해야 한다. 먼저, 일방향성은 주어진 해시 값 h에 대해서 H(x)=h를 만족하는 값을 찾는 것이 계산적으로 불가능한 것을 말한다. 충돌 회피성이란 주어진 x에 대해 H(x)=H(y)를 만족하는 임의의 입력 메시지 y(<>"
"해상 박명초 [Beginning Of Morning Nautical Twilight, 海上薄明初]",일출 48분 전부터 일출까지의 시간. 일출 전 태양이 수평선에서 12도 아래에 있을 때의 시간으로 군사상 가치가 있다.
"사거리 공산 오차 [Range Probable Error, 射距離空算誤差]","하나의 화포(곡사 화기)를 동일한 사격 제원으로 동일한 표적에 동일한 조건 하에 다량으로 사격하였을 때 나타나는 사탄 산포. 사격 방향(포목선)상 평균 탄착점을 기준으로, 전후 어느 거리 이내에 전체 포탄 중 50%의 포탄이 떨어질 때 평균 탄착점과 앞 또는 뒤 어느 한쪽 지점까지의 거리를 1사거리 공산 오차라고 한다."
"화생방전 [Chemical, Biological, Radiological Warfare, 化生放戰]","적을 살상하거나 지역 및 전투 장비의 사용을 제한하기 위해 화생방 작용제를 전쟁 수단으로 운용하는 일반적 의미의 화학전, 생물학전, 핵 및 방사능전의 총칭."
