term,pdf,example
5세대 전투기,국방과학기술플러스 Vol.255,PL-10은 중국에서 2004년부터 5세대 전투기용으로 개발한  5세대 단거리공대공유도탄이다.
F-2,국방과학기술플러스 Vol.255,"장착기종으로 F-2, F-15J, F-4EJ에서 운용 중이며, 정밀도 높은 RLG(Ring Laser Gyro) IMU를 탑재하여 LOAL 모드 운용이 가능하다."
J-20,국방과학기술플러스 Vol.255,"중국의 최신전투기인 J-10, J-11, J-20, FC-31 전투기에 장착 예정이며  수출용 버전인 PL-10E도 개발하였다."
P-3C,261 국방과학기술플러스_최종안,"하지만, 이스라엘의 ELTA, IAI, Rafael 사의 장비에 의존하여 RF-16펠콘 유인정찰기, 송골매 무인정찰기, P-3C 성능개량기 등을 운용하였다."
SM-3,259호_국방과학기술플러스,"SM-3, GBI(Ground Based Intercepter)는 중간단계, 천궁-II, 사드(THAAD), 패트리어트(Patriot)는 종말단계 미사일 방어에 해당한다."
SM-3,국방과학기술플러스 262호,초고온 내열 복합소재는 위에 대표 그림에서 나타나 있는 것과 같이 사드(THADD)와 유사한 유도탄 방어무기체계(SM-3)에 필수 핵심부품 소재이다.
SM-3,국방과학기술플러스 Vol.258,2월에 미 해군도 함정발사용 미사일(RIM-161 SM-3)을 발사하여 고장 상태로 궤도를 돌고 있던 자국의 한 정찰위성(USA-193)을 요격하는 데 성공하였다.
T-50,2021국방과학기술플러스252호,최근의 또 다른 사례로는 한국항공우주산업주식회사(KAI)의 T-50 항공기 개발이라 할 수 있다.
T-50,2021국방과학기술플러스252호,"T-50 항공기 개발비는 약 2조원이었으며, 그 중 10%인 200억을 종합군수지원(IL그렇기S) 개발 비용으로 사용하였기에 후속군수지원을 지속적으로 가능하게 하면서 아랍에미리트와의 수출협상 시 한국 정부차원의 안정적 후속 군수지원 보장에 대한 요구를 충족하게 되며 큰 호평을 받고 있다."
견인포,2021_국방과학기술플러스_253호,"1992년 개념에 대한 최초 입증 후, 2005년에는 화포용 레이저 점화장치(DPLIS16))를 개발하였으며, 개발기간동안 기존 자주포와 견인포에 적용하여 약 25,000발의 실 사격을 수행한 바 있다."
견인포,2021_국방과학기술플러스_253호,"미래 포병이 지향하는 방향에 맞추어 국외의 최근 개발동향을 살펴보면, 각국의 전술환경변화를 고려한 소요에 따라 견인포의 차량탑재형을 개발하는 등의 개량형의 개발이나, 기존의 자주포 기술을 활용한 다양한 목적의 체계를 창출하여 제안하고, 소요를 확대할 수 있는 원격무인 포탑, C-RAM1)용 포탑 등을 연구하고 있다."
공격기,국방과학기술플러스 Vol.256,"Yi Long은 전형적인 무인 공격기로 공대공 미사일, 레이저 유도탄, 대인폭탄, 50kg 소형 유도탄 등을 장착할 수 있다."
공대공 미사일,국방과학기술플러스 Vol.256,"Yi Long은 전형적인 무인 공격기로 공대공 미사일, 레이저 유도탄, 대인폭탄, 50kg 소형 유도탄 등을 장착할 수 있다."
기뢰,국방과학기술플러스 Vol.257,"함정의 임무영역을 표현하는 운용성능은 그림 2와 같이 대공전, 대잠전, 대수상전, 기뢰전과 같은 주 임무수행  영역과 이를 가능케 하는 공격능력, 방어능력, 기동, 지속능력 등의 능력요소로 이루어진다."
기뢰,국방과학기술플러스 Vol.260,"무인잠수정 임무2004년 미 해군에서 발표한 UUV Master Plan에서는 무인잠수정의 주요 임무를 정보/감시/정찰, 대기뢰전, 대잠전, 조사/식별, 해양조사, 통신/항해 네트워크, 적재물 운송, 정보작전 그리고 적기신속타격으로 총 9가지로 분류하였다."
기뢰,국방과학기술플러스 Vol.260,"2008년부터 2년 동안 개념연구 형태로, 노르웨이 FFI와 함께 착저 잠수함 또는 기뢰 탐지를 위한 기술개발 과제를 수행하였다."
기뢰,국방과학기술플러스 Vol.260,"Orca XLUUV의 주요특징은 전투 임무를 수행할 수 있는 기뢰모듈을 탑재하고 있으며, 수상감시정찰을 위해 마스트에 광학 장비를 탑재한 것을 알 수 있다."
기뢰,국방과학기술플러스 Vol.260,"군사목적으로 전력화 되어 있는 무인잠수정은 측면주사소나(Side Scan Sonar, SSS)를 탑재하여 해저기뢰탐색을 위해 활용되거나, 잠수함의 대잠전 훈련을 위해 소음을 방사/모의 할 수 있는 센서를 탑재하여 활용되고 있다."
대륙간탄도미사일,국방과학기술플러스 Vol.258,이 기술은 대륙간탄도미사일(ICBM) 개발도 가능한 수준인 것으로 평가된다.
대륙간탄도미사일,국방과학기술플러스 Vol.255,"아방가르드는 러시아의 대륙간탄도미사일 탑재 극초 음속 활공체로, 최고속도 마하 27로 활공하며 별도의 추진기관이 없는 순수한 활공체이다."
대포병 레이더,2021_국방과학기술플러스_253호,"육군의 ISTAR3) 능력 보강, 대포병 레이더 보강, MET4)(기상) 장비 보강, 정밀타격능력 보강, C4I5) 능력 보강, 플랫폼 개선 등을 제시하고 있다."
독도함,국방과학기술플러스 Vol.258,기본형은 현재 해군 상륙함인 독도함에 탑재되어 운용되고  있으며 성능개량형은 레이더 성능을 업그레이드하여  지상용 (SMART-L MM/F) 및 함정용 (SMART-L MM/N)  다중임무 디지털레이더로 개발되었다.
랴오닝호,국방과학기술플러스 Vol.256,중국은 항공모함 랴오닝호에 리젠을  탑재해 미국령 괌 인근까지 감시 정찰에 나설 것으로  예상되고 있다.
무인전투기,국방과학기술플러스 Vol.256,"GJ(攻擊·공지)-11' 스텔스 드론은 미국의 B-2  스피릿 폭격기, 항공모함 베이스의 장거리 무인전투기 X-47B와 비교되고 있다."
미사일 방어체계,259호_국방과학기술플러스,반면 탐지센서와 요격미사일을 무인항공기에 통합하여 Sensor-to-Shooter 방식으로 항공기반 탄도미사일 방어체계가 구현되면 탐지부터 요격까지 소요되는 시간을 줄여 대응 능력을 개선할 수 있다.
미사일 방어체계,259호_국방과학기술플러스,항공기반 탄도미사일 방어체계 구성에 필요한 무인항공기는 적외선센서와 요격미사일을 장착 가능해야 하며 그림20은 이에 따른 개념도이다.
미사일 방어체계,259호_국방과학기술플러스,[그림 20] 항공기반 상승단계 탄도미사일 방어체계다.
미사일 방어체계,259호_국방과학기술플러스,항공기반 상승단계 탄도미사일 방어체계가 개발되어 기존 중간단계/종말단계 방어에 추가되면 다층방어의 효과를 증대시킬 수 있을 것으로 기대된다.
미사일 방어체계,259호_국방과학기술플러스,항공기반 상승단계 탄도미사일 방어체계 구성항공기반 상승단계 탄도미사일 방어체계는 교전시간 확보를 위해 탐지센서와 요격미사일을 장착한 Sen­sor-to-Shooter 방식이 되어야 한다.
미사일 방어체계,국방과학기술플러스 Vol.255,"낮은 고도에서의 극초음속 비행은 극초음속 순항미사일이 미사일 방어체계를 침투할 수 있도록 하며, 극초음속 활공체와 달리 종말 단계까지 가속할 수 있어 복잡한 기동에 더욱 유리하다."
미사일 방어체계,국방과학기술플러스 Vol.258,"즉, 정지 궤도상의 위성체에 조기경보 IR 탐지장비를 탑재하여, 초기 탄도탄  발사 화염을 탐지하여 식별하고, 지상 조기경보 체계 및  조기경보 레이더에 식별된 정보를 제공하여 신속히 경보  발령을 내리게 하고, 지상 대미사일 방어체계의 신속한 대응 타격을 가능케하며, 나아가서는 탄도탄 발사점 및 탄착점을 예측하는 기능을 갖는다."
미사일 방어체계,259호_국방과학기술플러스,항공기반 방어의 장점  상승단계 탄도미사일 방어를 위해 항공기에 적외선센서와 요격미사일을 장착하여 Sensor-to-Shooter 방식의 미사일 방어체계를 구성하면 상승단계 탄도미사일 방어에 여러 가지 장점이 있다.
미사일 방어체계,259호_국방과학기술플러스,항공기반 상승단계 탄도미사일 방어체계는 북한과 같이 폭이 좁고 긴 지리적 특성이 있는 지역 가까이 접근하여 요격이 이루어지므로 탄도미사일 방어에 효과적인 것으로 이 연구는 결론 내고 있다.
비살상무기,국방과학기술플러스 Vol.258,"그리고 드론, 전투 차량, 통신 기지국 등 체계를  직접적으로 파괴하지 않으면서 무력화시킬 수 있는 기술이므로 비살상무기로 분류된다."
사드,259호_국방과학기술플러스,"SM-3, GBI(Ground Based Intercepter)는 중간단계, 천궁-II, 사드(THAAD), 패트리어트(Patriot)는 종말단계 미사일 방어에 해당한다."
사드,국방과학기술플러스 262호,초고온 내열 복합소재는 위에 대표 그림에서 나타나 있는 것과 같이 사드(THADD)와 유사한 유도탄 방어무기체계(SM-3)에 필수 핵심부품 소재이다.
