용어,출처,용례
5세대 전투기,"['국방과학기술플러스_242호(2018년+4분기)', '국방과학기술플러스 Vol.255', '국방과학기술플러스 249호', '국방백서', '국방과학기술플러스 250호']","['5세대 전투기인 F-22, F-35 개발 이후 스텔스 성능은 군사용 항공기에 필수적인 적용기술이 되었으며 스텔스 항공기는 적 레이더에 탐지되는 레이더 단면적(RCS)을 최소로 하는 것이 목표이다.', 'PL-10은 중국에서 2004년부터 5세대 전투기용으로 개발한  5세대 단거리공대공유도탄이다.', '러시아의 5세대 전투기인 Su-57(일명 PAK-PA)에는 Tikhomirov NIIP 연구소에서 개발한 2종류의 주파수 대역을 가진 레이다가 장착되어 있다.', '스텔스 기능을 보유하고 원거리 작전 및 정밀타격 능력이 향상된 5세대 전투기(T-50, PAK-FA)를 개발하여 공군의 주력 전투기로 사용할 예정이다.', '전 세계에서 저피탐 기술이 가장 발달된 것으로 알려진 미국은 최근 저피탐 성능을 키워드로 하는 5세대 전투기 개발에 이어 6세대 전투기 개발계획을 발표했으며 중국, 일본 등 한반도를 둘러싼 주변 강대국들도 속속들이 자국의 저피탐 무기체계 개발 계획 및 결과를 발표하고 있다.']"
F-2,"['국방백서', '국방과학기술플러스 Vol.255']","['2011~2015년 「중기방위력정비계획」 기간 중 노후한 F-4의 후속기로 미국의 F-35 도입을 추진 중이며, F-15와 F-2 전투기의 성능개량 작업을 병행하고 있다.', '장착기종으로 F-2, F-15J, F-4EJ에서 운용 중이며, 정밀도 높은 RLG(Ring Laser Gyro) IMU를 탑재하여 LOAL 모드 운용이 가능하다.']"
IED,"['국방과학기술플러스_239호(2018년+1분기)', '국방백서']","['IED에 의한 피해를 줄이기 위해서 재머를 켠 상태에서 이동을 하지만, 이 상황에서 통신장비와 간섭문제가 발생하여 원활한 통신에 문제가 발생하는 사례가 잦았다.', '그 중에서 가장 대표적인 내용으로써, 급조폭발물에 의한 공격을 방지하고자 개발되고 배치된 Counter-IED (Counter Improvised Explosive Device)와 통신장비와의 간섭문제가 있다.', '급조폭발물 (IED : Improvised Explo-sive Device)살상, 파괴, 공격 등을 위해 폭발성 있는 부품을 급조하여 결합한 모든 폭발성 장치를 총칭1.']"
J-20,"['국방과학기술플러스 249호', '국방백서', '국방과학기술플러스 Vol.255']","['3세대 AESA 레이다 기술은 J-20 전투기 포함 다수의 전투기 탑재를 목표로 개발되었으며, GaAs소자를 이용하여 3차원 구조속에 여러 개의 칩을 적층하는 타일형 모듈을 구현하였다.', '스텔스 전투기(J-20)는 2011년 1월 11일 최초로 시험 비행한 이후 개발을 지속하고 있다.', '중국의 최신전투기인 J-10, J-11, J-20, FC-31 전투기에 장착 예정이며  수출용 버전인 PL-10E도 개발하였다.', '현재 3천 여대의 군용 항공기를 보유하고 있으며 Y-20 전략 수송기를 작전 배치하고 J-20 시제기 시험 비행에 이어 J-31 실물을 공개한 바 있다.']"
K-9 자주포,['국방백서'],"['K-2 전차, K-9 자주포, 차기 다련장, 한국형 기동헬기, 북한 전역을 타격할 수 있는 미사일 등도 지속적으로 확보해 나갈 계획이다.', '지상전력 분야에서는 K-21 보병전투차량, K-2 전차, 대포병탐지레이더, K-9 자주포 등을 계속 확보해 나가면서 차륜형 전투차량, 차기 다련장 등의 전력을 새로이 확보한다.']"
P-3C,"['국방과학기술플러스_247호(20년도+1분기)', '261 국방과학기술플러스_최종안']","['1990년대에는 Helium원자의 Zeeman 효과를 적용한 자기장 센서가 개발되어 이를 적용한 ASQ-81 MAD 시스템이 개발되었고 P-3C, Lockheed S-3A Viking, SH-2F/G and SH-3H, Sikorsky SH-60B LAMPS, Mk III helicopters 등에 적용되었다.', '하지만, 이스라엘의 ELTA, IAI, Rafael 사의 장비에 의존하여 RF-16펠콘 유인정찰기, 송골매 무인정찰기, P-3C 성능개량기 등을 운용하였다.']"
RPG-7,['국방과학기술플러스_235호(2017년+1분기)'],['최근 북한도 이라크전 등 현대전의 전쟁교훈을 분석하여 시가지 전투에 적합한 전술과 RPG-7에 열압력탄을 개발하여 배치했다.']
SM-3,"['국방백서', '국방과학기술플러스 Vol.258', '259호_국방과학기술플러스', '국방과학기술플러스_242호(2018년+4분기)', '국방과학기술플러스_248호(20년도+2분기)', '국방과학기술플러스 262호', '국방과학기술플러스_235호(2017년+1분기)']","['12) 해상배치요격미사일( SM-3 )탄도미사일요격용미사일로100km 이상고고도에서탄도미사일을요격한다.', '2월에 미 해군도 함정발사용 미사일(RIM-161 SM-3)을 발사하여 고장 상태로 궤도를 돌고 있던 자국의 한 정찰위성(USA-193)을 요격하는 데 성공하였다.', 'SM-3, GBI(Ground Based Intercepter)는 중간단계, 천궁-II, 사드(THAAD), 패트리어트(Patriot)는 종말단계 미사일 방어에 해당한다.', '같은해12월에는해상배치요격미사일(SM-3) 12)의탄도미사일요격시험을하와이근해에서미·일공동으로실시하였다.', '마지막으로 이지스함에서 SM-3로 요격하는 방안이 있다.', '이 중 현재 우리가 언론에서 흔하게 듣는 천궁2, 패트리엇이나 사드(THAAD1)) 등의 체계는 탄도탄의 종말단계 요격을 위한 것이며 SM-3, GBI2) 등의 체계는 중간단계 요격을 위한 것이다.', '초고온 내열 복합소재는 위에 대표 그림에서 나타나 있는 것과 같이 사드(THADD)와 유사한 유도탄 방어무기체계(SM-3)에 필수 핵심부품 소재이다.', '탄도탄 방어(BMD; Ballistic Missile Defense)를 위해 SM-3의 단분리 과정을 포함한 비행단계별 플랫폼의 형태를 변경시켜가면서 가시화하고 있는 모습을 시각적으로 형상화하여 보여준다.']"
Su-30,"['국방과학기술플러스_242호(2018년+4분기)', '국방백서']","['BrahMos는 인도 공군의 수호이 전투기(Su-30MKI)에서 발사되었으며, 인도 공군은 금년 말까지 40대의 수호이에 BrahMos를 장착할 예정이다.', '향후 다목적 전투기(Su-30SM)와 방공미사일 시스템(S-400), 프랑스제 미스트랄 수송함 등의 배치를 추진하고 있다.']"
T-50,"['2021국방과학기술플러스252호', '국방백서']","['T-50 항공기 개발비는 약 2조원이었으며, 그 중 10%인 200억을 종합군수지원(IL그렇기S) 개발 비용으로 사용하였기에 후속군수지원을 지속적으로 가능하게 하면서 아랍에미리트와의 수출협상 시 한국 정부차원의 안정적 후속 군수지원 보장에 대한 요구를 충족하게 되며 큰 호평을 받고 있다.', '다목적 전투기(Su-35) 48대를 2010년부터 2015년까지 전력화하고, 5세대 스텔스 전투기(T-50)를 개발하여 작전 배치할 예정이다.', '셋째, 공중전력은현재진행되고있는고등훈련기(T-50) 양산사업, 한국형기동헬기사업을계속하면서, 대형수송기및경공격기( FA-50 )양산사업을신규로착수한다.', '스텔스 기능을 보유하고 원거리 작전 및 정밀타격 능력이 향상된 5세대 전투기(T-50, PAK-FA)를 개발하여 공군의 주력 전투기로 사용할 예정이다.', '최근의 또 다른 사례로는 한국항공우주산업주식회사(KAI)의 T-50 항공기 개발이라 할 수 있다.', '태국은 T-50 훈련기 수출(2015년 계약) 이후 방산분야 중점협력국으로 발돋움하고 있다.']"
