기사제목,기사내용
"KB국민은행-KAI, 1조원 규모 상생협력 업무협약","[국방신문=박세정 전문기자] 한국항공우주산업(KAI)와 KB국민은행이 항공우주분야 경쟁력 강화를 통한 중소 협력업체와 동반성장 및 및 세계시장 진출을 위해 손을 잡았다.
KB국민은행과 KAI는 11일 서울시 영등포구 KB국민은행 신관에서 협약식을 갖고 ‘상생협력 및 공동발전’을 위한 업무협약(MOU)을 체결했다.
강구영 KAI 사장과 이환주 KB국민은행장은 이날 협약을 국가 주력사업인 항공우주 분야의 경쟁력 강화와 협력업체 동반성장, 세계시장 진출 확대하기 위해 양 기관의 상호 협력체계를 구축하기로 했다.
이번 협약에 따라 KB국민은행이 KAI에 지원하는 금융지원 규모는 최대 1조원이다.
KB국민은행은 ▲미래사업 투자지원 ▲수출금융 ▲수출입 및 시설투자 관련 운영자금 대출 등 KAI에서 진행하는 사업에 대한 금융 솔루션을 제공할 예정이다. 또 KAI 협력업체를 대상으로 한 동반성장 금융지원을 통해 중소기업과 상생금융을 강화한다.
강구영 KAI 사장은 “항공우주산업은 높은 기술력과 장기적인 투자가 필수적인 만큼 안정적인 금융지원이 매우 중요하다”며 “이번 협약을 통해 미래사업 투자와 글로벌시장 확대를 위한 기반이 더욱 강화될 것으로 기대한다”고 밝혔다.
이환주 KB국민은행장은 “대한민국의 항공우주 및 방위산업을 선도해 온 KAI와 협약을 체결하게 되어 뜻깊게 생각한다”며 “이번 협약이 단순한 금융지원을 넘어 대한민국 항공우주 산업의 경쟁력을 높이고 지속가능한 성장을 함께 이루어가는 초석이 되길 바란다”고 말했다."
방산 AI 스타트업 퀀텀에어로 37억원 Seed 투자 유치,"[국방신문=양기반 기자] 방위산업 인공지능(AI) 스타트업 퀀텀에어로가 ST캐피탈과 오픈워터엔젤스, 전략적 투자자(SI) 2곳으로부터 Seed 투자 37억원을 유치해 총 누적 투자금 약 47억원을 달성했다고 18일 밝혔다.
이번 투자 유치로 퀀텀에어로는 방산 AI 기술 경쟁력을 강화하는 동시에 대한민국의 미래 전장 환경 혁신 및 우리 국군의 AI 분야 전투력 향상에 기여할 수 있는 기반을 마련한 것으로 평가된다.
이 회사는 지난해 2월 창업한 이후 잇단 투자 유치 성공으로 설립 1년 만에 약 500억원의 기업가치를 인정받았다. 특히 차별화된 방산 AI 비즈니스 모델을 바탕으로 높은 매출 성장세를 기록하고 있다.
올 하반기에는 약 1500억원 규모의 기업가치를 목표로 시리즈A 투자 라운드를 준비 중인 것으로 알려졌다. 이를 위해 국내외 다수의 전략적 투자자(SI) 및 벤처캐피탈(VC)과 활발한 협의를 진행하고 있다.
퀀텀에어로는 방산 AI 스타트업으로, 미국 방산 유니콘 기업인 쉴드 AI의 한국 기술독점 파트너다. 쉴드AI는 세계 최첨단 AI 파일럿 기술을 보유한 것으로 평가받는다.
퀀텀에어로는 해외의 최첨단 AI 기술과 무인 전력기술을 선제적으로 확보하고 국산화해 한국형 통합 솔루션을 ​개발하고 제공한다. AI 개발 및 솔루션 제공, 무인 플랫폼 하드웨어 판매 및 리스 사업과 첨단 AI 기술과 무인 플랫폼의 국산화에 주력하고 있다.
지난해 6월에는 대한민국 해군의 요청에 따라 독도함에서 쉴드AI의 수직이착륙무인기 ‘V-BAT’의 전투 실험을 성공적으로 수행하며 방산 AI 분야에서 기술력을 입증한 바 있다.
현재 퀀텀에어로는 한화에어로스페이스, 한화시스템, 현대로템, 대한항공, 휴니드테크놀러지 등 국내 대표 방산 대기업들과 비밀유지협약(NDA)를 체결하고 방산 AI 솔루션 제공을 위한 다양한 협력 방안을 추진하고 있다.
특히 공중 전력 AI뿐만 아니라 해상·육상 전력 및 지휘결심체계 AI와 관련해 글로벌 AI 전문기업들과 국내 기술독점 파트너십을 준비 중이다.
퀀텀에어로 전동근 대표는 “우리 국군이 직면한 구조적인 문제를 AI 솔루션을 통해 국내 대기업들과 협업해 빠르게 해결하겠다”며 “글로벌 방산시장에서 제2의 방산 수출 붐을 이어가기 위해 대기업들과 협업을 통해 다양한 AI 무기체계를 고도화하겠다”고 밝혔다.
한편, 미국 쉴드AI는 최근 글로벌 방산 및 투자기업들로부터 2억4000만달러(약 3700억원)를 투자받아 약 53억달러(약 7.7조원)의 기업가치로 급성장했다.
쉴드AI는 지난 2023년 미 국방부 산하 국방고등연구계획국(DARPA)이 주관한 ACE Program에서 우승했으며, 우크라이나에 V-BAT 무인기를 공급해 러시아의 GPS 재밍을 극복하고 러시아 방공망(SA-11)을 무력화하는 등 실전에서 뛰어난 성과를 나타냈다."
현대로템 ‘K2 전차’ 타고 역대 최고주가 경신,"[국방신문=양기반 기자] 현대로템이 유럽 국가들에 K2 전차 수출 증가 기대감에 힘입어 12일 역대 최고의 주가를 기록했다.
현대로템 주가는 이날 개장 직후 3.04% 오른 뒤 한때 11.17% 급등한 10만2500원으로 역대 최고가를 기록한 뒤 오름폭이 줄어들었다. 마감 주가는 전일 대비 2.28% 오른 9만4300원.
현대로템 주가가 장중 한때이지만 10만원을 넘은 것은 이번이 처음이다. 52주 신고가이자 역대 최고가다.
지난해 12월 30일 4만9700원에 마감한 이후 이날 종가 기준으로 올해 들어 3개월여 만에 89.74% 급상승했다.
미국 트럼프 행정부 출범 이후 세계 각국의 방위비 증가 기조에 따른 K2 전차 수출 증대 기대감이 작용한 것으로 풀이된다.
특히 최근 유럽 국가들이 방위비를 늘리려는 움직임을 보이면서 폴란드 등 북대서양조약기구(NATO) 국가 다수에 무기를 수출하고 있는 한국 방산기업에 대한 이익 증가 기대감이 커지고 있다.
미국이 러시아와 전쟁 중인 우크라이나에 대한 지원을 중단하고 ‘친러’ 행보를 보이자, 유럽 국가들은 ‘유럽 자강론’을 내세우며 8000억 유로(약 1258조원) 규모의 ‘EU 재무장계획(ReArm Europe)’을 발표하기도 했다.
현대로템은 유럽 국가들의 국방력 강화에 발맞춰 폴란드를 필두로 유럽에 K2 전차 추가 수출을 추진하고 있다.
이를 반영해 증권회사들이 내놓는 현대로템 주가 전망도 높아지고 있다.
한국투자증권은 최근 현대로템 목표주가를 9만2000원에서 11만8000원으로 높여 잡았다. KB증권도 8만2500원에서 12만원으로 상향했다.
BNK투자증권은 지난달에 현대로템의 목표주가를 9만4000원으로 잡았다가 지난 8일 14만원으로 50% 가까이 올렸다. 교보증권은 이 회사의 목표주가를 15만원으로 제시했다.
안유동 교보증권 연구원은 “올해 상반기에, 빠르면 1분기에 K2 전차 2-1차 수출 계약이 성사된다고 가정해 매출인식 시점을 2025년 하반기로 반영한다”며 “기존 매출 추정치를 상향 조정하고 영업이익률과 영업이익을 높게 조정”한다며 목표주가 15만원 제시 근거를 밝혔다.
장남현 한국투자증권 연구원은 “폴란드와 K2 전차 2차 계약 자체뿐만 아니라 현지에 생산 거점을 마련한다는 점 역시 중요하다”면서 “현대로템은 확대되는 유럽의 무기체계 수요에 직접적 대응이 가능하다”며 주가 추가 상승을 전망했다.
정동익 KB증권 연구원은 “현대로템의 지난해 4분기 방산 수출 영업이익률이 40%에 달하는 것으로 추정된다”며 “세계 최고 수준의 성능에 경쟁 제품과 현저한 가격 차이, 지속적인 생산성 향상과 고정비 부담 감소로 높은 수익성이 장기 지속할 것”이라고 진단했다.
이상현 BNK투자증권 연구원은 “K2 전차 폴란드 납품이 지난해 56대에서 올해 96대로 늘어나며 실적 상승을 견인할 것으로 예상한다”며 “루마니아 등 신규 수주 흐름도 이어질 것으로 기대한다”며 목표주가 상향 조정 이유를 설명했다."
‘PLUS K방산 ETF’ 순자산총액 5천억원 돌파,"[국방신문=양기반 기자] 국내 방위산업 핵심기업들로 구성된 ‘PLUS K방산 상장지수펀드(ETF)’가 주가 급상승과 함께 순자산총액 5000억원을 돌파했다.
PLUS K방산 ETF 운용사인 한화자산운용은 ‘PLUS K방산 ETF’의 순자산총액이 지난 10일 종가 기준 5024억원을 기록했다고 12일 밝혔다.
PLUS K방산 ETF의 순자산총액은 지난 2월 11일 3000억원을 돌파한 뒤 한 달 만에 5000억원도 뛰어넘었다.
이 종목의 구성 비중은 ▲한화에어로스페이스 23.14% ▲한화오션 19.56% ▲현대로템 16.99% ▲한국항공우주 15.26% ▲LIG넥스원 9.21% ▲한화시스템 6.98% 순이다.
PLUS K방산 ETF는 FnGuide K-방위산업지수를 기초지수로 하는 상장지수펀드(ETF)로, 개별 종목이 아닌 방위산업 전반에 분산 투자함으로써 특정 기업의 실적 변동에 따른 투자위험을 줄이면서도 산업의 성장성에 효과적으로 투자할 수 있다.
이런 특성 때문에 ‘PLUS K방산’은 순자산 급증과 함께 국내에 상장된 900여개의 ETF 중 가장 높은 수익률을 기록 중이다.
역대 최고가를 기록한 10일 종가(3만4330원) 기준 ‘PLUS K방산’은 올해 82.51% 올랐다. 최근 3개월 기준 수익률은 102.66%로 두 배 이상 상승했다. 상장일인 2023년 12월 13일 종가(1만1778원) 대비로는 191.48% 급등했다. 1년 3개월 만에 약 3배 상승한 셈이다.
이는 최근 유럽 국가들이 방위비를 늘리려는 움직임을 보이면서 폴란드 등 북대서양조약기구(NATO) 국가 다수에 무기를 수출하고 있는 한국 방산기업에 대한 이익 증가 기대감이 커진 영향으로 풀이된다.
미국이 러시아와 전쟁 중인 우크라이나에 대한 지원을 중단하고 ‘친러’ 행보를 보이자, 유럽 국가들은 ‘유럽 자강론’을 내세우며 8000억 유로(약 1258조원) 규모의 ‘EU 재무장계획(ReArm Europe)’을 발표하고 재무장 목소리를 높이고 있다.
하지만 유럽은 제2차 세계 대전 이후 무기 생산시설 및 공급망을 축소해왔기 때문에 수요를 단시일에 따라가지 못할 상황이어서 K-방산으로 수혜가 확산할 것이라는 전망이 나온다.
유럽뿐 아니라 중동시장 역시 노후화된 무기를 대규모로 교체하려는 수요가 존재해 K-방산의 다양한 수출 기회가 생길 것으로 전망된다.
JP모건은 지난 6일 발표한 보고서에서 ‘K-방산’의 긍정적인 요인 중 하나로 ‘중동의 방위비 증가’를 꼽았다.
중동 국가들이 방위비를 늘리며 군수품을 대량으로 확보하는 가운데 1990년 이전에 도입한 전차, 장갑차, 자주포 등이 노후화해 대규모 교체 수요가 발생할 것이라는 분석이다.
사우디아라비아, 아랍에미리트(UAE) 두 국가의 노후 무기 교체 수요만 해도 18조원 규모로 추산된다.
최영진 한화자산운용 전략사업부문장은 “올해 한국 방산업계의 주요 시장으로 중동과 미국을 예상했지만, 국제 정세 변화와 함께 유럽이 다시 한번 큰 시장으로 떠오르면서 추가 수요가 생겼다”며 “전 세계적인 방위산업 시장의 황금기가 진행 중이기 때문에 K-방산을 중장기적인 시작으로 바라봐야 한다”고 말했다."
"STX엔진, 호주 레드백 장갑차용 엔진 공급 계약","[국방신문=양기반 기자] STX엔진이 6일(현지시간) 호주 미래형 궤도 보병장갑차인 ‘레드백’ 엔진 공급 계약을 체결하고 본격적으로 장갑차용 디젤엔진 수출에 나선다.
STX엔진은 이날 호주 PENSKE Australia에 레드백 장갑차용 디젤엔진 공급을 위한 840억원 규모의 공급 계약을 체결하고 기술이전 라이선스도 제공키로 했다고 7일 밝혔다.
이 회사는 이번 계약을 통해 2027년까지 호주에 레드백 장갑차용 디젤엔진을 순차적으로 공급하고 호주 현지 생산 기반 구축을 포함한 기술이전 패키지를 제공할 예정이다.
PENSKE사는 호주와 뉴질랜드에서 방산, 운송, 에너지, 건설 및 광산업 분야의 모빌리티 솔루션을 제공하는 기업으로, 군용 차량 및 엔진 유지보수(MRO) 사업에 강점을 보유하고 있다.
STX엔진은 이번 호주 레드백 장갑차용 디젤엔진 공급을 계기로 세계시장에서 자사의 디젤엔진의 기술력과 확장성을 인정받아 각국의 방산 수요에 맞춘 최적의 엔진 공급 솔루션을 제공할 계획이다.
이날 계약 체결식에는 STX엔진 이상수 대표이사와 PENSKE사 주요 임원이 참석해 양사 협력을 공식화했다.
STX엔진은 그동안 인도, 폴란드, 노르웨이, 튀르키예 등에 K-9 자주포 디젤엔진을 수출해 왔으며, 검증된 성능과 품질을 바탕으로 K-9 자주포, 레드백 장갑차 등 K-방산 수출에 큰 역할을 담당했다.
특히 수출시장에서 요구되는 가혹한 운용 요구 조건과 기술 사양을 충족하는 디젤엔진을 안정적으로 국산화하고 현지 맞춤형 기술 지원을 제공할 수 있는 기반을 확보한 것으로 분석된다.
STX엔진은 1977년 독일 롤스로이스사와 디젤엔진 창정비 협정서를 체결하면서 당시 불모지에 가까웠던 국내 방위산업 디젤엔진 분야에 처음 진출해 국내 전차·자주포 엔진, 함정용 엔진을 국산화 생산해 왔다.
STX는 축적된 기술력을 바탕으로 방산 기술도입 업체에서 기술 수출업체로 거듭난 데 이어 세계 방산시장에서 요구하는 현지 생산 및 기술이전을 통해 글로벌 기술 파트너로서 입지를 견고히 할 계획이다.
STX엔진 이상수 대표이사는 “이번 협력은 STX엔진의 기술력이 국제적으로 신뢰받고 있음을 보여주는 중요한 성과”라며 “STX엔진은 지속적인 연구개발과 맞춤형 동력 솔루션을 통해 해외 방산 시장에서 영향력을 더욱 확대해 나갈 것”이라고 밝혔다.
STX엔진은 지난 1976년 12월 엔진 전문 생산 업체로 출범해 1977년 방위 산업체로 지정됐다.
STX엔진은 전차·자주포·군함·경비함 등 방위산업용 엔진을 기반으로 ▲대형 컨테이너선·LNG선·유조선 등에 탑재되는 선박용 디젤엔진 ▲육상용 플랜트 엔진 ▲가스 엔진 ▲철도 차량 엔진 등 각종 산업용 엔진을 생산해 국내는 물론 유럽·아시아·남미 시장에 수출했다."
"하나은행, 방산공제조합과 K-방산 육성‧금융지원 업무협약","[국방신문=양기반 기자] 하나은행(은행장 이호성)이 K-방산 육성 및 수출 증대를 위한 금융지원·업무 컨설팅에 적극 나선다.
이를 위해 하나은행은 5일 방위산업공제조합과 K-방위산업의 육성 및 금융지원을 위한 업무협약을 체결했다고 밝혔다.
이번 협약은 국내 방위산업 기업의 수출 지원을 통한 글로벌 성장 기반 조성 및 우수한 기술력을 보유한 방위산업 강소기업의 발굴‧육성을 통해 국가 전략사업인 방위산업의 국제 경쟁력 강화를 돕는 취지다.
이를 통해 하나은행은 방위산업공제조합 소속 조합원 기업을 대상으로 ▲국내 금융사 최대 규모의 글로벌 네트워크를 활용한 현지 시장 정보 공유 ▲방위산업 수출계약이행 단계별 지급보증서 발급 ▲수출 관련 금융프로세스 및 업무 컨설팅 ▲상생협력대출 및 환율 우대 등 다양한 금융 혜택을 제공한다.
김진우 하나은행 중앙영업그룹 부행장은 “이번 협약을 계기로 방위산업공제조합 회원사들이 해외 시장에서 국제 경쟁력을 갖추고 중추적인 역할을 할 수 있도록 내실 있는 금융지원을 이어갈 것”이라며 “상생협력 기반의 차별화된 금융서비스를 통해 K-방위산업의 발전을 위한 든든한 버팀목이 되겠다”고 밝혔다.
김희철 방위산업공제조합 상근부이사장은 “국내 최대 규모의 글로벌 인프라를 보유한 하나은행과 함께 조합원 기업에 수출보증서 발행은 물론, 중소 조합 회원사를 대출이자 지원 등을 통해 전략적 동반자로서 관계를 강화해 나갈 것”이라고 말했다.
방위산업공제조합은 ‘방위산업 발전 및 지원에 관한 법률’에 따라 지난 2021년 7월 출범해 조합 회원사를 대상으로 방위산업 수행에 필요한 보증과 더불어 제조‧생산 시설에 대한 각종 공제사업 지원을 통해 방위산업의 건전한 발전을 도모하고 있다."
"K-방산 주가, 미국 대선 트럼프 당선 가능성 타고 ‘훨훨’","[국방신문=양기반 기자] 5일(현지시간) 치러진 미국 대통령선거에서 공화당 도널드 트럼프 전 대통령이 당선될 가능성이 커지자 국내 방위산업체 주가가 급등세를 보이고 있다.
6일 국내 증시에서 종합주가지수(KOSPI)는 미국 대선 투표 및 개표현황에 시시각각 반응하며 소폭 하락하는 가운데 방위산업 관련주는 일제히 상승하는 모습이다.
오후 2시 현재 K-방산 대표주자인 한화에어로스페이스가 전일대비 2만9000원(8.01%) 급등한 39만1000원을 기록하고 있고, 한화시스템은 1040원(5.72%) 오른 1만9210원이다.
LIG넥스원은 1만7000원(6.97%) 오른 26만1000원을 나타내고 있다. 전투기 수주 가능성이 관측되는 한국항공우주(KAI) 주가도 1500원(2.55%) 상승한 6만400원으로 뛰어오르며 신고가를 갱신하고 있다.
K-2 전차를 수출하고 있는 현대로템은 2300원(3.77%) 오른 6만3300원을 나타내고 있다.
위성발사체를 우주에 쏘아 올린 쎄트렉아이 주가 역시 3100원(7.42%) 치솟은 4만4900원을 기록하고 있다. 풍산은 1300원(2.00%) 오른 6만6200원을 보이며 상승 대열에 합류했다.
이날 국내 K-방산을 대표하는 방위산업체 주가가 급등한 것은 미국 국익을 우선시하는 트럼프 전 대통령의 당선 가능성이 커지면서 미국의 국방정책 변화를 반영한 것으로 풀이된다.
해리스 부통령 지지를 선언했던 미국 뉴욕타임스는 자체 선거 분석을 통해 트럼프 공화당 대선후보의 당선 가능성을 ‘유력(likely)’으로 판단했다.
트럼프 전 대통령이 핵심 경합주로 지난 2020년 대선에서 민주당을 지지했던 펜실베이니아와 미시간과 위스콘신에서 우위를 보인다며 이같이 밝혔다. NYT는 선거인에서 트럼프 301대 해리스 237을 예측하고 있다.
트럼프 전 대통령은 미 대선의 이른바 7대 경합주 중 한 곳인 노스캐롤라이나에서도 최종 승리해 16명의 선거인단을 추가로 확보했다고 AP통신이 전했다.
한국시간 2시 30분 현재 트럼프 전 대통령과 해리스 부통령이 확보한 선거인단 수는 각각 230대 210이다."
"이노티움-데이터소프트나우, K-방산 미국 CMMC 인증 지원","[국방신문=조구현 기자] ㈜이노티움(대표 이형택)이 국내 1호로 사이버보안 성숙도모델 인증(CMMC) RPO 자격을 획득한 데 이어 미국 CMMC 인증기관과 손잡고 CMMC 인증 컨설팅을 본격적으로 추진한다.
이노티움 산하 한국CMMC인증지원센터(센터장 장경준)는 최근 미국 CMMC 인증기관(C3PAO)인 데이터소프트나우(대표 토마스 노스)와 한국 CMMC 인증 컨설팅 서비스 제공을 위한 양해각서(MOU)를 체결했다고 5일 밝혔다.
이노티움은 미 국방부가 시행하는 방산업체와 공급망 사이버보안을 강화하는 CMMC 국내 1호 CMMC 컨설팅 수행업체(RPO)다.
CMMC RPO는 CMMC의 요구사항과 기준에 따라 미국과 한국의 방산기업들의 CMMC 인증 준비를 지원하는 역할을 한다.
미 국방부는 2025년 CMMC 제도를 시행할 예정이며, 미국에 방산물자를 수출하거나 공동연구개발을 수행하려는 기업은 CMMC 인증을 취득해야 한다.
양사는 이번 MOU를 통해 미국으로 수출을 추진하는 한국 방산업체에 CMMC 인증 컨설팅 서비스를 제공한다. 특히 한국 방산기업이 글로벌 사이버 보안 표준을 충족하도록 지원하고 글로벌 경쟁력을 강화할 수 있도록 뒷받침한다.
데이터소프트나우는 미국 에어인더스트리스그룹 등 다수의 방산업체에 CMMC 레벨-2 인증 심사를 수행해왔으며, 현재 미국 내 13개 방산업체에 대해 컨설팅하고 있는 사이버보안 전문컨설팅 회사다.
이노티움은 한국 내 방산기업을 대상으로 맞춤형 CMMC 컨설팅 서비스를 통해 CMMC 인증을 위한 준비 과정을 지원하고 한국 기업의 CMMC 인증 획득을 보장한다.
이노티움은 지난달 29일 부산에서 CMMC 인증을 검토 중인 H사 등 대형 방산업체들을 초청해 세미나를 개최하는 등 CMMC 인증을 위한 지원을 강화하고 있다.
토마스 노스 대표는 “현재 미국 내 7만여 방산업체가 인증을 계획하고 있어서 한국 방산업체가 빠르게 추진하지 않으면 인증이 늦어져 한국 방산업체가 적기에 미 방산시장에 진입하지 못할 위험성이 매우 높은 상황”이라고 밝혔다.
그는 이어 “한국 방산보안 수준이 높다고 판단되나 미국 CMMC 인증 기준과 상이점이 다수 존재하기 때문에 이를 해결할 방안이 필요하다”고 덧붙였다.
장경준 한국CMMC인증지원센터장은 “이번 협약은 진행 중인 S사 CMMC 레벨-2 인증 컨설팅을 성공적으로 수행하기 위한 것”이라며 “내년부터 본격 시행하는 CMMC 인증 제도와 관련해 한국 방산기업이 국제적 사이버 보안 표준을 충족해 경쟁력을 강화할 수 있도록 지속적으로 지원할 계획”이라고 말했다.
장경준 센터장은 다년간 방산업체 사이버보안 업무를 수행한 전문가로, 최근 창원 소재 모 방산업체에 대한 CMMC 레벨1 인증 컨설팅을 완료하는 등 국내에서 CMMC 컨설팅에 대한 이해와 실무경험이 가장 뛰어난 것으로 평가받고 있다.
CMMC는 국방부와 계약하는 업체 및 그 협력업체들까지 사이버보안 성숙도 수준을 3개 등급으로 구분하여 인증을 받아야 하는 제도다.
업체가 연방계약정보(FCI, Federal Contract Information)만 취급하는 경우에는 CMMC 1등급 인증을 취득해야 하고, 업체가 통제필요정보(CUI, Controlled Unclassified Information)를 취급하는 경우에는 정보의 중요도에 따라 CMMC 2등급 또는 3등급 인증을 취득해야 미 국방부와 계약을 맺을 수 있다.
한편, 이노티움은 지난 4월 30일 국내 1호로 CMMC 인증 컨설팅 서비스를 수행할 수 있는 조직인 CMMC RPO 자격을 미국으로부터 획득해 CMMC 인증 컨설팅을 할 수 있는 자격요건을 갖췄다.
이노티움은 20여개 국내 대형 방산업체에 방산 데이터보안 제품을 공급하고 있으며, 현재 CMMC에서 요구하는 보안 기능을 개발하고 있다.
특히 외부 협력사로 반출된 기밀자료(CUI) 유출방지, 열람추적, 원격파기하는 ‘엔파우치’ 제품은 미국 방산기업 공급망 보안에 활용도가 높아 향후 미국과 세계 공급망 데이터 보안시장 진출 가능성이 크다는 평가를 받는다."
"한국상호운용성기술자문, 이스라엘 군용드론 국내 제조판매 사업자 공모","[국방신문=조구현 기자] 한국상호운용성기술자문(KOREA ITC, 수석대표 조태호)은 9월 6일까지 이스라엘 군용드론(G1,G2,G3)의 국내 제조·판매를 위한 사업자를 모집한다.
KOREA ITC는 사업자 선정공고를 내고 국내 방산지정업체 선정을 위한 절차에 착수했다고 27일 밝혔다.
이번 사업자 선정공고는 이스라엘 최고의 군용드론 전문기업인 에어로센티널의 한국 내 제조생산 권한과 기술을 무상으로 이전할 대상 방산업체를 평가해 선택하기 위한 것이다.
방위사업법 제35조에 따른 요건을 갖췄거나 지휘 및 통제장비를 생산하는 업체 등 국내 방위사업체로 지정된 기업만 신청할 수 있다.
제안서 평가를 거쳐 현장실사 등 엄격한 선정 절차를 통해 최적의 적임 기업을 선정한다. 공동계약은 허용하지 않는다.
현재 이스라엘 군용드론 G1, G2, G3 등 G계열 모델은 ISTAR(정보·감시정찰·표적획득) 임무를 위한 초정밀 드론으로, 이스라엘군(IDF)을 포함해 10여개 국가에서 실제 작전에 사용되고 있는 최고 성능의 군사 드론이다.
육상 운용 모델과 해상 운용 모델 두 가지 유형이 있다. 특히, 해상 운용 모델은 이동하는 함정에서 작전 임무 수행 중 자동으로 홈 포인트를 인식하고 복귀하는 자체 개발 특수기능을 탑재했다.
조태호 KOREA ITC 수석대표는 “이번 사업자 선정공고는 그동안 세계적인 기술력을 자랑하는 이스라엘 최고의 드론 전문기업과 협업을 위해 지난 10여 년간 노력한 결실이 시작되는 것”이라며 기대감을 나타냈다.
조 대표는 이어 “이번 사업자 선정을 통해 국내 국방 드론산업을 한 단계 끌어올릴 수 있는 환경을 조성하고, 향후 이스라엘 드론 관련 각종 기술과 SW, 운영 노하우 등 전반에 대한 이전을 통한 국산화로 자주국방에 이바지함은 물론 국방 분야 선진기술 국산화 보급에 더욱 노력할 것”이라고 밝혔다.
사업자 선정과 관련한 자세한 내용은 한국방위산업진흥회 홈페이지를 참조하거나 KOREA ITC 조태호 수석대표에게 문의하면 된다."
"NH투자증권, 방위산업 파생증권 등 3종목 신규상장","[국방신문=조구현 기자] 한국 방위산업의 세계 경쟁력이 강화되면서 방위산업에 투자하는 파생상품이 잇따라 증권거래소에 상장되고 있다.
NH투자증권은 방위산업과 전력 분야에 연동된 파생결합증권인 상장지수증권(ETN) 3종목을 신규 상장한다고 1일 밝혔다.
이번에 상장되는 상품은 ‘N2 방위산업 Top5 ETN’, ‘N2 월간 레버리지 방위산업 Top5 ETN’, ‘N2 전력인프라 Top5 ETN’이다.
‘N2 방위산업 Top5 ETN’은 방위산업 매출이 양호한 국내 방산기업 중 시가총액 상위 5종목을 편입한다. 편입 비중은 동일가중방식으로 산출한다.
‘N2 월간 레버리지 방위산업 Top5 ETN’은 방위산업 5종목이 내는 월간 수익률의 2배를 제공하는 ETN으로, 방위산업에 대한 적극적 투자 성향의 고객을 위한 상품이다.
최근 러시아·우크라이나 전쟁과 이스라엘·하마스 전쟁 등 지정학적 갈등이 지속하는 가운데 이들 방산 관련 ETN은 세계적 경쟁력이 높아진 한국의 방산기업 시가총액 상위 5종목을 한 번에 투자할 수 있도록 구성됐다. 한국 방산기업들은 뛰어난 가성비와 빠른 납기, 적극적인 기술 이전 등을 통해 수주 및 수출이 늘고 있고 이런 추세는 앞으로도 지속할 전망이다.
‘N2 전력인프라 Top5 ETN’은 전력인프라 관련 기업 중 시가총액 상위 순서대로 동일가중방식으로 5종목을 편입한다.
전 세계적으로 인공지능(AI) 시장 규모가 확대되고 AI 산업 성장과 함께 전력이 소요되는 데이터 시설에 대한 수요도 높아지고 있는 점을 고려한 종목 편입이다. AI 산업 기업들의 전력 확보가 중요해진 상황에서 전력인프라 산업도 호황을 맞이할 것으로 전망된다.
NH투자증권 관계자는 “세계 각지에 지정학적 갈등이 계속되며 한국 방위산업의 경쟁력이 급부상했고, 인공지능(AI) 붐으로 전력 수요가 늘어 전력 인프라 산업의 호황이 예상된다”며 “이런 추세를 잘 반영한 상품을 구성했다”고 밝혔다.
ETN은 거래소에 상장되어 주식처럼 거래할 수 있는 증권 상품이다. 증권사가 무담보 신용으로 발행하며 발행한 회사는 변동하는 지수 수익률에 의해 결정되는 실질 가치를 투자자에게 만기에 지급해야 하는 계약상의 의무를 진다.
확정 수익률을 지급하는 채권이나 발행 시 약정한 조건에 따라 확정 수익률을 지급하는 주가연계증권(ELS)와도 다르며 실물 자산이 있는 펀드와도 구별된다."
