용어,설명
이지스함 [AEGIS],"이지스 시스템이란 목표의 탐색으로부터 이를 파괴하기까지의 전 과정을 하나의 시스템에 포함시킨 미 해군의 최신종합무기 시스템이다.AEGIS(이지스)는그리스신화에서제우스가 그의 딸아테나에게 준방패를 의미한다. 1983년 최초의 이지스 시스템을 탑재한 미 해군의 이지스 순양함 타이콘데로가호가 취역하였다. 타이콘데로가급 이지스 순양함은 스프루언스급 구축함의 선체를 개조한 것으로,항공모함선단의 함대 방공을 책임지는 함정이다.
	 
	미 해군은 새로 건조되는 구축함에도 이를 탑재할 수 있을 것이라는 판단 아래 1970년대 후반기부터는 순양함 전투체계의 발전형을 연구하였다. 그 결과 1991년 7월에는DDG-51 알레이 버크호가 구축함용 이지스 시스템을 탑재한 첫 이지스 구축함으로 건조되었다. 
	 
	이지스 시스템의 핵심은 3차원 위상배열레이더(phased-arrayradar) 스파이(SPY)-1 이다. 기존의 기계회전식 레이더는 마스트에 설치된 큰 접시형 안테나가 360도를 회전하는 동안 1번만 레이더 빔을 표적에 비춘다. 따라서 각각의 표적을 추적하려면 레이더가 표적마다 별도로 필요하게 된다. 그러나 컴퓨터 통제방식의 스파이-1 레이더는 레이더 센서가 전후좌우로 상부 격벽의 평면에 부착되어 사방으로 동시에 전자기장 빔을 조사하므로, 동시에 최고 200개의 목표를 탐지·추적하고, 그 중 24개의 목표를 동시에 공격할 수 있다. 또한,미사일발사대도 과거에는 갑판 위에 설치되어 선회 구동범위가 넓고 공간도 많이 차지했었다. 그러나 이지스 시스템의 미사일 발사대는 갑판 하부에 수직으로 설치되기 때문에 갑판의 공간도 적게 차지할 뿐 아니라 미사일이 언제나 발사대기 상태로 유지되어 표적에 대한 대응시간도 단축되었다. 
	 
	이지스 시스템을 탑재한 이지스함은 외형적으로 위상배열 레이더와 미사일 발사대 등 2가지의 뚜렷한 차이를 보이는 것 외에 함정의 기본적인 모양은 기존의 전투함과 크게 다를 바가 없다. 그러나 내부에 설치된 고성능의 구성 장비와소프트웨어는 기존 시스템에 비하여 성능상 현격한 차이가 있는 것들이다. 
	 
	현재 취역하고 있는 미국의 이지스함으로는 타이콘테로가급 순양함 27척과 어레이버크급 구축함 22척이 있다. 일본은 1993년 미국에 이어 세계에서 2번째로 일본 해상자위대의 1만t급 최신예 호위함 콘고[金剛] 1번함에 이지스 시스템을 탑재한 이후 모두 5척의 이지스함을 건조하였다. 한국은 2007년에 처음으로 이지스함세종대왕함을 건조한 이래 2020년 현재 총 3척의 세종대왕급 이지스함을 확보하고 있다. 
	 
	이지스 시스템은 구성체계와 모델에 따라 다르긴 하지만, 기존의 전투체계에 비하여 가격이 훨씬 고가이다. 따라서 유럽의 일부 국가에서는 미국의 이지스 시스템을 그대로 채택하기보다는 축소형의 미니형 이지스 시스템으로 구성하려는 노력을 하고 있다. 노르웨이와 스웨덴은 소형 이지스급 전투함(4600t급)을 보유하고 있다.
	 
	<한국의 이지스함>"
"왕건함 [DDH 978, 王建艦]","4,400t급 전투전대의 지휘 통제함으로 쓰인다. 2006년 5월진수되었다. KDX-Ⅱ 한국형 구축함은 SM-Ⅱ 및 RAM 대공미사일을 탑재하여 함정 방어 위주의 대공방어를 구역방어 위주의 대공방어로 발전시킨 함정이다. 또 함정 선체에 스텔스 기법을 도입하여, 적 레이더에 의한 탐지 확률을 줄였으며 5인치함포와 슈퍼링스헬리콥터를 무장적재하여 지상작전 지원 능력과 대잠수함 전투 능력을 강화한 것도 큰 특징이다. 전장 150m, 전폭 17m, 깊이 9.5m, 톤수 4,200톤이다.추진기관은가스터빈2대와 디젤엔진 2대가 있고, 최고 속력은 30노트, 항속거리 4,000nm이다. 하푼 대함미사일과 SM-Ⅱ 대공미사일, 5인치 함포 및 30mm CIWS로 무장하며 갑판에 대잠작전을 수행하는 슈퍼링스 헬기 1대를 적재한다. 특수요원(UDT)과 해병대 요원 등이 포함된 300여 명의 승무원이 탑승한다. 2010년 4월 청해부대 5진으로 아덴만과 소말리아 해역에 파견되어 수송선의 해상 안전을 확보하는 작전을 펼쳤으며 2011년 1월 20일 귀환하였다. 특히 소말리아 해적에게 피랍되었던 유조선 삼호드림호가 석방되자 이 선박을 호송하는 임부를 수행하였다."
거북선 [龜船],"현재까지 전해오는 문헌 중에서 ‘거북선[龜船]'이라는 이름이 처음 나타나는 기록인 《조선왕조실록(朝鮮王朝實錄)》에는 1413년(태종 13) 5월 초에 “왕이 임진강 나루를 지나다가 거북선이 왜선으로 꾸민 배와 싸우는 모습을 보았다”고 하였고, 2년 후에는 다시 “거북선이 매우 견고하여 적선이 해치지를 못한다”고 되어 있으나, 어떤 형태와 규모였는지에 대해서는 자세히 적혀 있지 않아서 알 길이 없다. 그 후 180여년 간 거북선에 관한 기록이 보이지 않다가 이순신 장군의 임진년(1592) 일기인 《난중일기(亂中日記)》 2월 8일 기사에 “거북선에 사용할 돛 베(帆布) 29필을 받다”라는 기록이 있다. 또한 《난중일기》에 따르면 거북선에 비치한 포(砲)를 처음 발사한 날은 임진년(壬辰年:1592) 3월 27일이며, 처음 해전에 참가한 것은 장계(狀啓)에서 “5월 29일 사천해전(泗川海戰)”이라 기록하고 있다.그러나 이순신 장군이 건조한 창제귀선(創製龜船)의 일반적인 외부의 형태와 전투력에 관해서만 기록하고 있으며, 실제 건조에 필요한 세부적인 치수에 대해서는 기록한 것이 없다. 따라서 태종 때의 거북선과 이순신이 말한 거북선과의 관계는 확실히 알 수 없으나, 임진왜란 때 거북선은 이순신의 고안에 의해서 군관 나대용(羅大用) 등이 실제로 건조한 것으로 알려지고 있다. 거북선이 임진왜란 때 돌격전선으로서 기능을 발휘함에 따라 전란 후에는 그 모양이 조금씩 변하여 용머리[龍頭]는 거북머리[龜頭]로 바뀌고, 치수도 일반적으로 장대(長大)해지는 등 차차 크게 건조되었는데, 1795년(정조 19)에 간행된 《이충무공전서(李忠武公全書)》에 ‘전라좌수영 거북선’ 및 ‘통제영 거북선’의 그림과 함께 건조에 필요한 부분적인 치수가 어느 정도 기록되어 있다."
"세종대왕함 [DDG-991, 世宗大王艦]","한국산 1호 이지스함으로 주요 제원은 길이 165m, 너비 21.4m, 배수량 7650t(만재시 1만t), 최대 항속거리 약 9900㎞, 최대 탐지 및 추적거리 1054㎞, 탄도미사일 추적거리 925㎞, 승무원 300여 명이다. 2004년 9월 울산 현대중공업(주)에서 건조를 시작하여 2007년 5월 25일 진수식을 열었다. 이지스함은 강력한레이더로 수백㎞ 이상 떨어진 곳에서 적 항공기나 미사일을 발견하여 요격할 수 있어 현존하는 함정 가운데 방어력이 가장 뛰어나다. 이 때문에 '꿈의 함정' 또는 '신의 방패'라고도 불린다.세종대왕함이 진수함으로써 한국은 미국·일본·스페인·노르웨이에 이어 5번째 이지스함 보유국이 되었다. 세종대왕함은 미국의 주력 이지스함인 알레이버크 급 구축함보다 10%나 크고, 일본의 최신형 아타고 급보다 조금 더 크다. 성능도 미국의 이지스 구축함을 제외하고는 가장 뛰어나다. 알레이버크 급이나 아타고 급의 수직발사기(VLS：Vertical Launching System)는 96개인 데 비하여, 세종대왕함은 이보다 32개 많은 128개를 갖추고 있다. 여기에는 함대지(艦對地) 크루즈 미사일 '천룡(天龍)' 32발과 대잠(對潛) 미사일 '홍상어' 16발 등 국내에서 개발한 한국형 수직발사기 48개가 포함된다.최대 장점은 이지스 레이더와 각종 미사일, 기관포로 강력한 3중 방공망을 구축하는 것이다. 미국 록히드 마틴에서 만든 스파이-1D 이지스 레이더는 사면에 고정되어 전방위 360도를 감시한다. 이 레이더는 탄도 미사일 추적 요격 능력을 갖추고 있으며, 최대 1000㎞ 떨어져 있는 항공기 약 900개를 동시에 찾아내고 추적할 수 있다. 레이더가 찾아낸 목표물은 SM-2 블록Ⅲ 함대공 미사일이 최대 170㎞ 밖에서 1단계로 요격하고, 이를 통과한 적 항공기나 순항 미사일은  램(RAM) 미사일이 2단계로 요격한다. 3중 방공망의 마지막 수문장 격인 기관포 '골키퍼'는 1분당 4200발의 기관포탄을 목표물에 퍼부어 파괴한다."
"활강포 [smoothbore gun, 滑降砲]","사정거리를 늘리기 위해강선을 없앤 포로써 주로전차포로 사용된다. 강선이 없기 때문에 포탄을 회전시키지 않아 바람의 영향을 많이 받는다. 따라서 철갑탄과 유탄을 발사할 경우 강선포에 비하여 명중률과 파괴력이 낮다. 그러나 날개를 달고 관통력이 강한 날개안정분리철갑탄(APFSDS;Armor Piercing Fin Stabilized Discarding Sabot)을 사용하고 디지털탄도계산기를 장비함에 따라 명중률도 큰 폭으로 향상되었다.
제1차 세계대전에서 처음 등장한 전차는 오랫동안 강선을 가진 전차포를 사용하여왔다. 그러나 1950년대부터 구소련이 날개안정분리철갑탄과 함께 활강포를 장비한 전차 개발을 시작하였다. 1961년 115㎜ 활강포 U-5TS를 장비한T-62가 개발되면서 활강포 시대를 열었다. 이후 러시아가 개발한T-64T-72T-80T-90등은 모두 활강포를 장비하였다.
서방측에서는 독일 라인메탈사(社)가 1960년대 중반부터 105㎜ 활강포를 개발하였고 1978년 10월 11일 선보인 레오파르트2 양산 1호차가 라인메탈사의 120㎜ 활강포 Rh120을 장비하였다. 레오파르트2 외에 프랑스의 르클레르, 일본 90식, 이탈리아C1 아리에테, 스웨덴 Strv122 등이 120㎜ 활강포를 장착한 3세대 전차들이다.
한국이 처음 개발한 K1 전차는 105㎜ 강선포를 채용하였지만 K1을 개량한 K1A1은 다른 3세대 전차와 같은 120㎜ 활강포를 장착하였다. 3세대 전차 가운데 영국의 챌린저2만 거의 유일하게 120㎜ 강선포를 장비하고 있다."
"양만춘함 [DDH 973, 楊萬春艦]","기본 설계에서 제작에 이르기까지 순수 국내 기술로 만든 국산 구축함이다. 한국형 구축함 사업인 KDX-Ⅰ사업에 따라 광개토대왕함·을지문덕함에 이어 세 번째로 진수된 3,000t급 국산 3호 구축함이자, KDX-Ⅰ사업의 마지막 구축함이다. 한국 해군의 수주로 설계에서 제작까지 대우중공업(지금의 대우조선해양)이 맡았고, 1998년 10월 19일 옥포조선소에서 진수식을 가졌다.
	제원은 길이 135.4m, 너비 14.2m, 만재톤수 3,885t, 최고 시속 30노트이다. 최대 286명까지 승함할 수 있다. 주요 탑재 장비는 127㎜ 주포 1문,근접방어무기체계(CIWS) 2문, 대함유도미사일인하푼미사일, 시스패로(sea sparrow) 함대공미사일, K-744어뢰등이다. 레이더 시스템은 장거리 2차원 대공 레이더(AN/SPS-49(V)5 - C/D 밴드), 단거리 3차원 대공 레이더(MW08 - G 밴드), 사격 통제 레이더(STIR 180 2기 - I/K 밴드), 대함 레이더(SPS-95K - I 밴드)를 갖추고 있다. 또한 적의 잠수함을 탐지하는 DSQS-21BZ 선체 고정 소나, SQR-220K 흑룡 예인 소나 장비를 탑재하고 있다.그밖에 슈퍼링스헬리콥터2대를 탑재할 수 있고, 수중 음파탐지기와 적아(敵我) 식별기, 화생방 방호체계 등 각종 전자장비를 갖추어 대함·대공·대잠 등 다양한 입체작전을 수행할 수 있다.구축함 이름은고구려보장왕(寶臧王) 때안시성(安市城)의 성주(城主)로, 당나라 50만 대군이 쳐들어 왔을 때 끝까지 성을 지켜 당나라 군대를 물리친 양만춘의 이름을 땄다. 양만춘함을 마지막으로 KDX-Ⅰ사업은 끝나고, 2000년부터는 4,500t급 구축함 사업인 KDX-Ⅱ 사업에 들어갔다."
"대조영함 [DDH-977, 大祚榮艦]","한국형 구축함 사업으로 추진된 KDX(Korea Destroyer Experiment)-Ⅱ 사업에서 충무공이순신함(DDH-975)·문무대왕함(DDH-976)에 이어 세 번째로 건조되었다. 대우해양조선에서 국산 기술로 설계·제작하여 2003년 11월 12일 진수식(進水式)을 올렸고, 1년 6개월여의 운용 시험을 거쳐 2005년 6월 30일에 실전 배치되었다. 함정 명칭은발해를 건국하고 고구려의 옛 영토를 회복한 고왕(高王) 대조영의 진취적 기상을 계승하기 위한 뜻에서 명명하였다. 건조 비용은 4000억 원이 투입되었다.제원은 길이 149.5m, 너비 17.4m, 깊이 9.5m에 총톤수 4500톤, 최대속도는 29노트이며, 주갑판을 기준으로 지상 3층과 지하 4층의 7층 구조에 탑승 인원은 200여 명이다. 주요 무기로는 분당 4500발을 발사하며 6㎞ 거리의 미사일을 명중시킬 수 있는 근접방어무기인 30㎜ 골키퍼 2문, 32㎞까지 포탄을 날릴 수 있는 5인치 함포 1문, 함대함유도탄 하푼 8기, 함대공유도탄 SM-2 32기를 각각 장착하였다. 이밖에 대(對)잠수함 작전 능력을 갖춘 링스(Lynx)헬리콥터2대를 탑재할 수 있으며, 장병용 개인화기로 K-1과 K-2 소총도 다수 확보하고 있다.KDX-Ⅰ사업으로 건조된 광개토대왕함에 비하여 적기에 대한 대공 유도탄의 대응거리가 길고 탑재 수량 및 추적 탐지 거리가 늘어나 대공 방어 능력이 강화되었다. 또한 문무대왕함과 마찬가지로 선체 설계에스텔스기법을 도입하여레이더피탐 면적 및 수중방사 소음 감소 등의 첨단기술을 적용하였으며,화생방전에 대비한 방호체계를 갖추어 생존성을 크게 향상시켰다. 2010년 2월 1일 창설된 해군7기동전단에 편제되었이며, 2009년과 2011년에 각각 청해부대 2진과 9진으로 파병되어 소말리아 해역에서 운항하는 선박들을 해적들로부터 보호하는 임무를 수행하였다."
다이너마이트 [dynamite],"나이트로글리세린은 폭발력이 강력하나 액상(液狀)이며, 또 외력(外力)에 대하여 극히 예민한 물질이므로 그대로 취급하는 것은 매우 위험한 일이다. 이것을 폭발약으로서 안전하게 사용할 수 있도록 연구를 거듭한 A. 노벨은 1866년에규조토(硅藻土)에 나이트로글리세린을 흡수시킴으로써 안전하게 취급할 수 있는 가소성 폭약을 만드는 데 성공하여 이를 다이너마이트라 명명하고 1867년에 미국과 영국에서 특허권을 획득했다.처음에는 상품명이었으나, 현재는 보통명사로서 일반적으로 사용된다. 노벨이 발명한 규조토 다이너마이트와 같이 단순히 나이트로글리세린을 흡수제인 규조토에 흡수시킨 것을 혼합 다이너마이트라 한다. 규조토는 주성분이 SiO2로, 흡수제로 이용될 뿐 나이트로글리세린의 폭발력을 감퇴시킨다.따라서 규조토 대신에 산소공급제와 가연물(可燃物)을 사용하여 폭발력의 감퇴를 방지한 것이 개발되었다. 이와 같은 활성흡수제(活性吸收劑)를 사용한 것이 미국에서 폭발약의 폭발력 표시기준으로 사용되고 있는 스트레이트다이너마이트이다. 이것은 흡수제로서 질산나트륨·목분말(木粉末)·황 등을 사용한 것으로, 20%, 30%, …, 60% 스트레이트다이너마이트와 같이 숫자를 붙여 부르는데, 이 숫자는 곧 나이트로글리세린의 함유량을 나타낸다. 또 질산나트륨 대신에 질산암모늄을 사용한 질산암모늄 다이너마이트도 있다.노벨은 규조토 다이너마이트의 발명에 이어, 1888년 나이트로셀룰로스(면화약)와 나이트로글리세린을 혼합하면 젤라틴상(狀)의 나이트로셀룰로스 겔(gel)이 되어 양자가 분리하기 어렵게 되는 사실을 발견하고, 이것을 이용하여 보다 안전하고 취급하기 쉬운 다이너마이트를 발명하였다. 이것이 오늘날의 나이트로글리세린겔계(系) 다이너마이트의 시초이다. 현재는 기제인 나이트로글리세린·나이트로셀룰로스에 산소공급제와 가연물을 첨가한 것이 제조되고 있으며, 기제의 함유량 배합성분의 종류와 분량에 따라 여러 종류가 있다. 나이트로글리세린겔을 약 20% 이상 함유하는 다이너마이트는 가소성을 가지며 교질(膠質) 다이너마이트라 하고, 약 7∼20%를 함유하는 것은 가소성이 없으므로 비교질(非膠質) 다이너마이트라 한다.일반적으로 다이너마이트는 갱내(坑內) 등 통풍상태가 좋지 않은 장소에서 많이 사용되므로 폭발 시 유해가스가 발생하면 안 되며, 또 다이너마이트를 완전 폭발시켜서 폭발위력을 발휘해야 한다. 탄광용은 폭발온도를 낮추어 메테인이나 탄진(炭塵)에 불이 붙는 것을 방지해야 한다. 이러한 제약을 벗어나고도 충분히 목적을 달성할 수 있도록 개량한 것이 오늘날의 다이너마이트이다. 따라서 이들 배합물의 종류는 상당히 한정되어 있다. 교질 다이너마이트는 값이 비싸고 폭발력이 지나치게 강하므로, 폭발력도 약화시키고 값도 싸게 하기 위해 질산칼륨·질산암모늄·목분말·녹말·염화나트륨 등을 배합한다.비교질 다이너마이트는 나이트로글리세린의 함유량이 적고 분말상(粉末狀)인데, 특히 나이트로글리세린의 사용량이 많아 교질에 가까운 성상(性狀)의 것을 세미젤라틴 다이너마이트라 한다. 비교질 다이너마이트는 교질 다이너마이트에 다량의 질산암모늄을 가하여 분말화하고 값을 싸게 한 것이다. 흡습성이 있는 것이 큰 결점이라고 할 수 있으나 채탄(採炭)용으로 많이 사용되고 있다. 나이트로글리세린은 8℃ 전후에서 응고하기 때문에 다이너마이트로서의 유연성이 없어지고, 뇌관을 삽입할 때나 구멍에 장전할 때 돌발적인 폭발 등을 일으키는 위험이 있다. 이것을 방지하기 위해 전에는나이트로글리콜을 약 10% 혼합하여 0℃ 정도에서도 응고하지 않는 난동(難凍) 다이너마이트와, 약 25% 첨가하여 －20℃ 정도에서도 응고하지 않는 부동(不凍) 다이너마이트가 제조되었다. 현재는 나이트로글리콜을 40∼50% 첨가한 부동 다이너마이트가 제조되고 있다.다이너마이트의 제조공정은, 연질(軟質) 금속으로 만든 용기에 나이트로글리세린·나이트로셀룰로스·나이트로글리콜을 정해진 분량만큼 넣고 조용히 휘저어 균등한 혼합물을 만든다. 다음에 교화기(膠化器)로 10∼25℃에서 섞어 젤라틴을 얻는다. 이것을 다른 배합물, 즉 질산암모늄·목분말·나이트로화합물·녹말·염화나트륨·염화칼륨 등과 함께 반죽기에 넣어 40℃ 이하에서 반죽한다. 반죽이 끝난 다이너마이트는 큰 덩어리(교질 다이너마이트)이거나 가루 모양(비교질 다이너마이트)이므로 압연기로 성형하여 포장하든가 종이통에 넣어서 완성시킨다. 원료가 폭발성이 있는 것이므로, 제조공정 중에 충격을 주어서는 안 된다. 따라서 각 단위공정(單位工程) 사이에서 제품을 이동시킬 때에는 평활한 포장도로인 운반로를 만들고, 그 위를 고무바퀴가 달린 뚜껑 있는 손수레로 운반한다."
"원자폭탄 [atomic bomb, 原子爆彈]","우라늄과 같은 원자번호가 큰 중원소의원자핵에중성자를 충돌시키면 원자핵에 분열반응이 일어나고 2개 이상의 중성자가 튀어나오게 된다. 이핵분열과정에서는 감마선과 중성자와 함께 엄청난 열에너지가 방출된다. 이러한 핵분열반응이 일정한 조건하에서 연쇄반응을 일으켜 확대되어 나가면 방대한 에너지를 방출하게 된다. 핵에너지를 군사적 목적에 활용한 것이 원자폭탄이며 연쇄반응의 속도를 조절하여 에너지원으로 활용한 것이 원자력발전이다.
이탈리아의 물리학자엔리코 페르미는 원자핵이 느린 중성자를 포획하여 새로운 원소를 만들 수 있다는 제안을 한 공로로 1938년 노벨 물리학상을 수상하였으며 이후 핵분열의 연쇄반응의 속도를 조절하여 원자폭탄의 개발과 원자력 발전에 기여하였다.독일에서 핵분열이 최초로 관찰된 뒤 페르미를 비롯하여 미국에 망명한 유럽의 물리학자들은 루즈벨트 대통령을 설득하여 원자폭탄 개발을 위해 비밀리에 맨해튼 계획을 수립하게 된다. 당시 페르미는 연쇄반응을 지속적으로 유지시키는 방법을 개발하는 일의 책임자였다.페르미는 맨해튼 계획의 일환으로 시카고 대학에서 연쇄반응의 빠르기를 조절하는데 중성자를 흡수하는 물질인 카드뮴(Cd) 막대를 원자로에 넣거나 빼는 방법을 이용하여 연쇄반응의 속도를 조절하였고 이 실험은 1942년 12월 시카고 대학의 스쿼시 경기장에서 성공하였다.이후 1943년에는 테네시 주의 오크리지 서쪽 20마일 지점에 원자폭탄 제조용 우라늄 생산공장을 건설하고 뉴멕시코 주의 로스앨러모스 과학연구소에서 폭탄 개발 및 설계를 진행하였다.1945년 7월 16일 뉴멕시코 주 앨러머고도 근처 사막 트리니티에서 시험 폭파를 거쳐, 같은 해 8월 6일 일본의 히로시마에 우라늄 235 폭탄을, 3일 뒤 나가사키에 플루토늄 239 폭탄을 투하하였다.이 폭탄의 투하로 히로시마에서는 34만 3,000명의 인구 중에서 사망 약 7만 명, 부상 약 13만 명, 완전히 연소·파괴된 가옥 약 6만 2,000호, 반소 또는 반파가옥 약 1만 호, 이재민 약 10만 명의 피해가 발생했고, 나가사키에서는 사망 약 2만 명, 부상 약 5만 명, 완전연소 또는 파괴가옥 약 2만 호, 반소 또는 반파가옥 약 2만 5,000호, 이재민 약 10만 명의 피해가 발생했다.1949년 9월 24일 소련에서도 원자폭탄을 보유하고 있음이 발표되었고, 1952년 10월 3일에는 영국이 몬터벨로 군도에서 원폭 실험에 성공하였다. 1960년 2월 13일에는 프랑스가 사하라사막에서 실험에 성공하였으며, 뒤이어 중국·인도·남아프리카공화국 등에서도 원자폭탄을 보유하게 되었다.
원자폭탄은 사용되는 핵분열물질의 종류에 따라 우라늄폭탄과 플루토늄폭탄으로 나뉘며, 큰 것에는TNT폭약 수백 톤에 해당하는 폭발력을 내는 것부터kt급의 위력을 내는 것에 이르기까지 여러 가지 크기의 것이 있다.폭탄의 원료로 사용되는 우라늄 235는 천연우라늄 광석 속에 약 0.7%가 함유되어 있으며, 나머지 99.3%는 비분열성인 우라늄 238로 되어 있다. 우라늄 238에서 우라늄 235를 추출해 내고, 순도 90% 이상으로 농축한 것이 원자폭탄의 에너지원(源)이 된다.플루토늄 239는 원자로 속의 반응을 끝낸 폐기물 중에서 화학적인 처리에 의해 추출된다. 순도 높게 농축된 우라늄 235·플루토늄 239 등 핵분열물질의 원자핵에 중성자를 충돌시키면 원자핵에 분열반응이 일어나고, 핵분열을 일으킨 원자핵으로부터는 다시 2개 이상의 중성자가 튀어나와서 다른 원자핵에 충돌하여 새로운 핵분열을 일으킨다. 이러한 핵분열반응은 연속해서 확대되어 나가며, 연쇄반응을 일으켜서 방대한 에너지를 방출하게 되는 것이다.이와 같이 연쇄반응을 일으키는 상태를 임계상태(臨界狀態)라 하고, 이러한 상태가 될 핵분열물질의 양을 임계량이라고 한다. 임계량은 분열물질의 종류와 순도 및 기타의 조건에 따라서 달라지게 되나, 우라늄 235와 플루토늄 239에서는 5~20kg정도이다. 원자폭탄은 우라늄 235과 플루토늄 239를 용기에 넣고, 그것을 임계상태가 되도록 한 장치, 기폭장치를 갖춘 것이라고 할 수 있다.원자폭탄은 보통 때는 임계질량보다 작은 덩어리로 나누어서 저장하다가 필요할 때 한 덩어리로 모이게 하여 임계질량 이상이 되면 순간적으로 폭발한다. 우라늄 원자폭탄의 임계질량은 우라늄 235가 93.5%인 경우 약 52kg이고, 크기는 투포환 정도의 크기이다.
우라늄 235의 원자폭탄의 작동과정은 다음과 같다.먼저, 폭탄이 떨어질 때 공기압 센서가 기폭 장치에 방아쇠를 당기고 기폭 장치가 발화하면서 재래식 기폭제를 점화시킨다. 원뿔 모양의 작은 우라늄 235 덩어리가 재래식 포신에 발사되어 더 큰 우라늄 235와 만난다.기폭장치에는 포신형(砲身型:guntype)과 내폭형(內爆型:implosiontype)이 있다. 포신형은 원통 속에 임계량의 분열물질을 2개로 나누어 넣고, 화약의 힘으로 한쪽 분열물질을 다른 쪽의 것에 합치게 하여 임계상태가 되도록 하는 것이고, 내폭형은 밀도가 성긴 해면체(海綿體)의 분열물질을 중심에 두고, 주위에 폭약을 배치해 두었다가 폭약을 한꺼번에 폭발시켜 빠르게 압력을 가함으로써 임계상태가 되도록 만든 것이다.폭탄의 살상 및 파괴효과는 폭풍·열·방사능의 3대 효과가 종합적으로 작용하여 발휘된다. 폭발은 100만 분의 1초 내에 일어나고, 지속시간은 200만 분의 1초에 불과하다. 이와 같이 극히 짧은 순간에 막대한 에너지가 방출되므로 수백만 도 이상의 고온이 발생하여 주위의 공기를 가열시키고, 가열된 공기는 급격히 팽창해서 폭풍이 되어 무서운 파괴효과를 내게 된다.가열된 공기는 불덩어리를 형성해서 고열의 열복사선을 방출하여 연소 및 화상효과를 낸다. 20kt의 표준 원자폭탄의 경우 100만 분의 1초 안에 6,000만℃, 100만 분의 1.5초 후에는 5,000만℃, 불덩어리의 지름 1m가 되고, 1만 분의 1초 후에는 30만℃, 불덩어리의 지름 13~14m가 된다.또한 온도 5,000만℃가 될 순간의 폭발압력은 수십만atm에 이른다. 핵반응시에 방출되는 방사능(초기 핵방사능)은 중성자상해(中性子傷害)를 입히게 하고, 넓은 지역에 퍼져 있는 물·흙·먼지 등의 방사성물질로부터 잔류방사선을 방출하게 하며, 죽음의 재라고 하는 방사능진(fallout)을 내리게 하여 광범위한 방사능 오염지대를 형성한다. 폭발에서 발생되는 효과와 에너지의 분포는 대체로 폭풍 및 충격파 50%, 열복사선 35%, 초기핵방사선 5%, 잔류방사선 10%이다.표준 원자폭탄이 공중·지표면에서 폭발한 경우 폭풍효과에 의해서 폭발중심으로부터 1~5km이내의 목조건물, 300m 이내의 콘크리트건물, 150~220m 이내의 지하 구조물이 파괴되고, 열복사선에 의해서는 2.5km이내의 가연성 물질이 연소되거나 인원에게 심한 화상을 입히게 되며, 방사선에 의해서는 1km이내의 전체 인원에게 치사량의 방사선량을 조사(照射)하게 된다."
"탄도 [trajectory, 彈道]","총포의 경우, 포신 안에서 추진용 화학물질의연소·폭발에 의해서 탄환이 운동하기 
	시작할 때부터 포구 ·총구를 떠날 때까지의 탄도를 내부탄도(또는 강내탄도), 
	탄환이 포구 ·총구를 떠나서 공중에서 그리는 탄도를 외부탄도(또는 강외탄도), 
	탄환이 착탄한 이후 표적의 내부를 관통하면서 그리는 탄도를 관철탄도로 구분한다. 
	탄환에 미치는 외부로부터의 영향의 차이에 따라서 공기의 저항이 전혀 없고 지구의중력에만 영향을 받은 탄도를 진공탄도, 대기 속에서 실제로 그리는 탄도를 
	공중탄도로 구분한다. 그러나 오늘날로켓·미사일등이 출현하게 되면서 로켓탄도, 
	또는 대기권외탄도라고 하는 새로운 개념의 탄도도 생기게 되었다.
총포에 있어서 강외탄도 ·공중탄도는 탄환이 포구 ·총구를 떠난 순간의 
	초속(初速:방향 및 추진력)에 의한관성(慣性), 대기 속의 공기저항, 지구의 
	인력(중력가속도) 등 외부 요소에 의해서 결정된다. 이 경우, 탄도가 그리는 높이 
	·거리(사정)는 지구의 크기에 비해서 아주 작으므로 탄도의 모양은 중력가속도의 
	방향과 크기의 변화에 크게 영향을 받지 않고 대체로 포물선을 그리게 된다. 
	로켓이나 미사일은 포신 ·총신 안에서 가속하는 대신 공간 속에서 가속되며 그 
	이후에는 주로 관성에 의해서 비행하게 된다.
제2차 세계대전 중에 출현한 독일군의V-II호는 이 원리를 이용한 것으로, 로켓을 
	사용해서 공간에서 가속하고, 로켓의 분사가 끝난 뒤부터는 대부분의 경로를 관성에 
	의해서 탄도를 그리면서 비행하였다. 이 원리는 오늘날 미사일에도 그대로 이용되며, 
	이와 같은 초원거리(超遠距離) 포탄이라고 할 수 있는 비상체를 탄도탄, 또는 
	탄도미사일이라고 한다. 이 탄도탄 중에는 사정거리가 1만km에 달하고, 중력의 
	방향이 발사점과 탄착점 간에 100°나 변화하는 것도 있다. 일반적으로 미사일이 
	그리는 탄도는 중력가속도의 변화를 무시할 수 없으므로 모양이 대체로 타원형을 
	이룬다. 그러나 실제로는 가속탄도 ·공중탄도 ·대기권외탄도 ·재진입탄도 등 
	복잡한 탄도를 그리면서 표적에 도달하게 된다."
