term,example
5세대 전투기,80년대부터 시작되어온 MFI(5세대 전투기 개발계획)의 일환으로 실 공개는 1997년 이루어졌다.
5세대 전투기,"Mig-29는 신뢰성과 안전성은 물론 착륙과 기동 성능, 속도, 고도에 관하여 다른 무기 선진국들의 5세대 전투기와 대등하면서 상대적으로 낮은 가격으로 개발되었다."
5호 전차 판터,02(M)가 5호 전차 판터D형으로 선정되면서 양산을 시작하였다.
5호 전차 판터,"제식 이름은 PzKpfw(PanzerKampfwagen) Ⅴ Panther, 즉 5호 전차 판터(표범)이다."
A-10,"조달예정대수는 미국 공군이 F-16과 A-10의 후속기로 CTOL형 약 2,036대, 미국 해병대가 FA-18, AV-8의 후속기로 STOVL형 약 642대, 미국 해군이 FA-18C, A-6E 후속기로 약 300대, 영국 해군이 시해리어기의 후속기로 약 60대 등 총 3,000대로 되어 있다."
A-10,"수호이 설계국이 개발한 구소련최초의 아음속 근접항공지원기로서, 미국의 A-10 선더볼트에 버금가는 성능을 갖고 있다."
A-6 인트루더,A-6 인트루더를 소재로 한 영화에는 'Flight of the Intruder'가 있다.
AGM-86,핵탄두장착용 AGM-86B ALCM을 개조하여 핵탄두 대신 재래식 고성능 폭풍·파편폭탄 탄두를 장착한 것이다.
AGM-86,"1986년 9월 26일 생산이 중단되기까지 보잉은 총 1,739기의 AGM-86B를 미 공군에 공급하였다."
AGM-86,미 공군에서는 그 이후 100발 이상의 AGM-86B를 발사하여 90% 이상의 명중률을 기록하였다.
AGM-86,"1974년부터 개발에 착수한보잉은 1980년 3월 미 공군과 시험·생산계약을 체결하고, 1982년부터 미 공군에 AGM-86B를 공급하기 시작하였다."
AGM-86,견고한 시설이나 지하매설 표적을 파괴하기 위해 침투형 탄두(AUP:Advanced Unitary Penetrator)를 장착한 것은 AGM-86D로 분류된다.
AGM-86,유도장치는 지형 추적·참조 유도시스템(terrain contour-matching guidance system)을 갖춘 AGM-86B의관성항법장치에위성항법장치(GPS)를 결합한 새로운 형태의 시스템으로 교체되었다.
AK-47,구소련이 개발한 AK-47과 같은 제1세대 돌격소총으로써냉전시대 서방측 최초로 성공한자동소총이라는 평가를 받는다.
AK-47,"미국의M16소총, 러시아의AK-47소총 등이 대표적이다."
AK-47,62㎜탄을 사용하는AK-47을 설계하였다.
AK-47,AK-47은 1947년 제식 채용된 칼라시니코프자동소총(AvtomatKalashnikova)이라는 뜻이다.
AK-47,"오늘날 세계적으로 널리 사용되는 소총은,북대서양조약기구(NATO) 가맹국가들의 FN소총, 공산국가들의 AK-47 돌격총, 미국과 그 우방국이 장비하고 있는 M14·M16 소총을 들 수 있다."
AK-47,개발을 맡은 IMI사는 주변 아랍 국가들이 장비하였던 소련제 AK-47과 미국에서 도입한 M16소총을 비교한 결과 AK-47이 더 우수하다고 판단하여 AK-47을 기초로 1968년부터 신형 돌격소총 갈릴을 개발하였다.
AK-47,"구소련이 개발한 AK-47, 미국의 M16소총과 함께 세계의 3대 돌격소총이라는 평가를 받았다."
AK-47,AK-47은 1947년 구소련군의 주력 돌격소총으로 제식 채용되면서 양산을 시작하였다.
B-52 폭격기,"러시아는 트롤어선형의 정보함을 각국의 연안에 배치하여 끊임없이 정보를 수집하고 있으며, 베트남 전쟁 때는 괌 근해에서 미국의 B-52 폭격기의 동정을 일일이 수집 ·보고하여 미국의 작전에 지장을 준 것으로 알려졌다."
B-52 폭격기,이라크전에 투입된 폭탄의 40%를 B-52 폭격기가 투하하였다고 알려져 있다.
B-52 폭격기,"B-52와B-1폭격기의 내부 회전식 발사기와 외부에 20~22기를 장착할 수 있으며, 1991년걸프전쟁때 B-52 폭격기에서 35기가 발사되어 처음 실전에 사용되었다."
C-130 허큘리스,MC-130은 C-130 허큘리스 수송기의 특수전용으로 MC-130E/H/P 형이 있다.
C-5 갤럭시,"C-5 갤럭시 수송기에는 8대, C-17에 4대, C-141에 3대, C-130에는 1대의 코만치를 실을 수 있다."
C-5 갤럭시,"필요한 경우에는 미 공군의C-130,C-17이나C-5 갤럭시수송기로 코만치를 목표지점으로 운반할 수 있다."
E-8 조인트 스타즈,E-8 조인트 스타즈의 개발은 1985년 9월부터 시작되었다.
