term,example
5세대 전투기,"즉, 같은 5세대 전투기라도 F-22와 F-35 간 상호운용성이 매우 낮다는 것이다."
5세대 전투기,"미 공군은 최초 스텔스 기능을 보유한 5세대 전투기인 F-22를 750대 구매하려고 했으나, 예산 부족으로 187대밖에 구매할 수 없었다."
5세대 전투기,이렇듯 제5세대 전투기의 장을 연 F-22 스텔스 전투기는 하루 아침에 등장하지 않았다.
5세대 전투기,"● TA-50 전술입문훈련기 (LIFT, Lead-In Fighter Trainer):4~5세대 전투기 전술 입문 교육을 위한 형상이며, 경공격기 임무를 병행할 수 있다."
5세대 전투기,● FA-50 ‘ 파이팅 이글 (Fighting Eagle)’경공격기 (LCA:Light Combat Aircraft) :T-50 시리즈의 본격적인 경공격기 사양으로 전투 임무 뿐 아니라4~5세대 전투기를 위한 전술훈련을 실시할 수 있다.
5세대 전투기,T-38은 5세대 전투기 조종사 양성에 필요한 18개의 임무 훈련 중 12개밖에 소화하지 못했기 때문이다.
5세대 전투기,"T-38은 한때 썬더버드(Thunderbirds) 공중 곡예팀까지 운용했을 정도로 우수한 기체지만, 한차례의 대규모 업그레이드와 기골 보강에도 불구하고 기체 노후화가 심각해진데다 5세대 전투기들이 도입되기 시작하면서 T-38의 성능이 이를 따라가지 못하는 점도 문제가 되었다."
5세대 전투기,"T-X 사업으로 도입될 고등훈련기는 4~5세대 전투기 및 폭격기 조종사를 양성하는 공군 교육훈련 파이프라인(pipeline)의 마지막 단계로, 미 공군은 향후 예산 절감을 위해 차기 훈련기를 통해 전투기와 폭격기 조종사 교육을 함께 소화할 계획을 갖고 있다."
5세대 전투기,"현재 미 공군은 2031년까지 60%의 보유 항공기를 5세대 전투기 이상으로 교체할 계획에 있으며, 이에 따라 훈련기도 5세대 적응을 도울 기본적인 능력을 보유해야 한다는 입장이다."
5세대 전투기,그리고 스텔스(stealth) 라는 놀라운 기능으로 새로운 항공전을 연 제5세대 전투기들이 그 모습을 드러내기 시작했다.
5세대 전투기,5세대 전투기 개발에도 적용되어 Su-35BM 등에도 활용된 것으로 알려져 있다.
5세대 전투기,5세대 전투기인 Su-35BM이나 러시아의 첫 5세대 전투기인 Su-57에 적용된 것이 그나마 SU-47이 수호이사와 항공 역사에 기여한 부분이 되었다.
5세대 전투기,특히 이 사업의 승자는 미 공군을 통해 검증과 보장받는 것이나 마찬가지이기 때문에 사실상 F-35를 위시한 4~5세대 전투기를 도입할 국가들의 훈련기 시장까지 장악할 가능성이 높다.
A-10,"페어차일드 리퍼블릭 사의 YA-10A 양산기인 A-10A는 1975년 초도비행을 실시했으며, 1976년부터 제355전술훈련비행단에 인계되어 시험 과정을 거친 뒤 4년 후인 1977년 10월에 실전배치가 이루어졌다."
A-10,"“해브 블루”는 노스롭 T-38의 엔진, F-16의 플라이-바이-와이어(Fly-by-Wire) 기술, A-10 선더볼트 II(Thunderbolt II)의 랜딩기어, C-130의 환경 시스템이 적용되었으며, 록히드는 이 기체를 처음 예상했던 예산보다 낮은 $3,500만 달러로 불과 2년 만에 두 대의 시제기를 완성했다."
A-10,이 중 한 대가 1975년 최고 속도 기록을 위해 날개를 제거하고 기타 개조를 가한 A-10이 되었다.
A-10,"이 사업 자체는 PCAS 용 기체로 선정된 A-10을 “무인화”하는 내용이 포함되어 있지 않았으나, 전술용 무인항공기 개발 사업인 MQ-X가 취소되면서 유인 및 무인 A-10을 활용하는 방향으로 진행되고 있다."
A-10,A-10A의 명칭은 제2차 세계대전 당시 육군항공대에서 적 기갑 전력을 상대했던 P-47 선더볼트(Thunderbolt)의 명칭을 계승하여 ‘선더볼트 II’로 명명되었다.
A-10,"최초의 A-10A 도입 부대는 1975년 10월 애리조나 주 데이비스-몬산(Davis-Monthan) 공군기지에 주둔 중이던 제355전술훈련비행단이었으며, 최초의 실전배치는 1978년 사우스캐롤라이나 주의 제354전술전투비행단에 인도되면서 이루어졌다."
A-10,"● A-10C:A-10A의 업그레이드 형상으로, 정밀 교전(PE, Precision Engagement) 능력 증가 사업을 통해 항전장비류 등이 교체되었고, 주익 및 기골이 보강되었다."
A-10,"외부총기장착대(external gun mount system; EGMS)에는 기관총 뿐만 아니라 아래 레일을 추가하여 로켓런처나 헬파이어 미사일도 장착할 수 있도록 되어 있으나, 실제로는 A-10C 등의 기체가 호위임무를 담당하므로 도어건 이외에 추가적인 무장은 거의 운용하지 않는다."
A-10,"디지털 자동조종장치는 헬파이어를 기존 투발플랫폼인 헬기보다도 더욱 빠른A-10 썬더볼트 II등의 제트기체에서도 투하가 가능하게 하며, 단거리에서 미사일의 유도성능을 비약적으로 향상시킨다는 장점이 있다."
A-10,"과시를 위한 목적의 행사인 열병식의 특징을 고려할 때, 이는 북한군이 이제 한미연합군의 공격헬기나 A-10과 같은 근접항공지원용 회전익 및 고정익 항공기의 공습을 거부할 수 있는 어떤 전략적 보완이 완성되었다는 점을 과시한 것으로 볼 수 있다."
A-10,"전형적인 ‘미군의, 미군에 의한, 미군을 위한’ 항공기인 A-10은 오로지 미 공군에서만 운용되었고, 운용 중이며, 운용될 항공기다."
A-10,후에 A-10이라는 이름으로 도입된 신형 공격기는 소련의 23mm 대공포도 견딜 수 있도록 만들어졌다.
A-10,"A-10을 운용한 군은 미 공군과 미 공군 주방위군, 공군 예비군뿐이며, 제공권이 완벽하게 장악된 상태에서 운용되어야 하므로 사실상 미 공군을 제외한 공군이 운용하기는 쉽지 않은 기체다."
