term,example
45형 데어링급 구축함,"45형 데어링급 구축함은 애초 12척이 건조될 예정이었으나, 국방 예산의 삭감으로 6척으로 줄어 들었다."
45형 데어링급 구축함,45형 데어링급 구축함은 향후 30년 간 영국 해군의 주력 전투함으로 운용될 예정이다.
45형 데어링급 구축함,"45형 데어링급 구축함은 대함 미사일에 대한 생존성을 향상시키기 위해, 선체 전체에 광범위하게 스텔스 설계를 적용했다."
45형 데어링급 구축함,통합전기추진방식의 사용으로 45형 데어링급 구축함은 70초 만에 시속 약 53㎞에 해당하는 29노트의 속도에 도달할 수 있다.
45형 데어링급 구축함,"45형 데어링급 구축함의 또 다른 특징으로는, 통합전기추진방식을 채용한 전투함이란 점이다."
45형 데어링급 구축함,"45형 데어링급 구축함은 갈수록 진화하는 대함 미사일의 위협에 맞서, 함대를 보호하는데 개발 초점을 맞추었다."
45형 데어링급 구축함,45형 데어링급 구축함은 이중 위협도가 높은 12개 목표물을 씨 바이퍼(SeaViper)함대공 미사일로 요격 할 수 있다.
45형 데어링급 구축함,"45형 데어링급 구축함은 해군의 세종 대왕함에 장착된SPY-1D 레이더와 달리, 전투함의 가장 높은 곳이라 할 수 있는 마스트 위 부분에 샘슨 레이더가 장착된다."
5세대 전투기,우리도 비싼 수업료를 물어가면서라도 5세대 전투기의 노하우를 얻기를 기대한다.
5세대 전투기,5세대 전투기가 탄생할 것으로 기대된다.
5세대 전투기,현재 5세대 전투기에서 가시적인 성과를 내놓은 것은 군사강국인 미국과러시아뿐이다.
5세대 전투기,파크파는 아직 5세대 전투기로서 완성되지는 못한 상태이다.
5세대 전투기,제5세대 전투기는 미국만 보유하고 있는 것이 아니다.
5세대 전투기,이것은 5세대 전투기가 얼마나 무서운 존재인지 잘 보여주는 사례였다.
5세대 전투기,한마디로 5세대 전투기는스텔스전투기이다.
5세대 전투기,제5세대 전투기인F-22와F-35는 여전히 기관포를 기총으로 사용하고 있지만 제6세대 전투기는 에너지 빔 무기를 사용할 것으로 많은 전문가들은 예측하고 있다.
5세대 전투기,사실 비행체의 소리나 모습까지 감출 수 있는 것은 아니므로 저관측성(LO)이 옳은 표현이지만 스텔스는 어느덧 5세대 전투기를 상징하는 단어가 되었다.
5세대 전투기,5세대 전투기로 구분될 정도로 뛰어난 전투기로 알려져 있다.
5세대 전투기,한마디로 진정한 5세대 전투기 시대를 연 스텔스 전투기였다.
5세대 전투기,현재 5세대 전투기를 운용하고 있는 것은 F-22를 운용하는 미 공군뿐이다.
5세대 전투기,5세대 전투기의 시대를 연 것은 록히드마틴/보잉의F-22이다.
5세대 전투기,"또 최신 디지털 비행 시스템을 장착해 F-35, F-22 등 이른바 5세대 전투기들의 훈련기로 적격이라는 것도 강점이다."
5세대 전투기,이후 2차 걸프전에도 투입되어 위력을 선보였지만 B-2 폭격기와 본격적인 5세대 전투기인 F-22의 등장으로 점차 자리를 계속 유지하기 어려워졌다.
5세대 전투기,"F-35 전투기는 미군뿐만 아니라 해외 시장에 판매할 수 있는, 미국의 유일한 제5세대 전투기이기 때문이다."
5호 전차 판터,사실 티거는 이후 등장한 5호 전차 판터(Panther)나 6호 전차 B형 쾨니히스티거(Königstiger)와 달리 전통적인 독일의 전차 형태를 이어받은 마지막 작품이다.
99식 소총,이러한 경험과 우여곡절 끝에 1939년에 99식 소총이 탄생하였다.
99식 소총,"현재 미국에서 민간용으로 판매되는 99식 소총은 맹수 사냥에 적합하다고 알려져 있는데, 이처럼 제대로 만든 99식 소총은 나름대로 호평을 받고 있다."
99식 소총,99식 소총은 약 350만 정 정도 생산된 것으로 추정된다.
99식 소총,우리 군은 창군 직후 일본군이 남기고 간 아리사카(有坂) 99식 소총으로 무장해야만 했다.
99식 소총,"99식 소총, 97식 경기관총을 비롯한 다양한 종류의 화기와 총포탄이 생산되었는데, 해방 후 국군과 경찰의 무기로 사용되기도 하였다."
99식 소총,99식 소총은 제2차대전 종전까지 아시아 태평양 곳곳에서 사용되었다.
99식 소총,이를 전자와 구별하여 단소총(短小銃)이라 하는데 일반적으로 99식 소총은 이것을 의미한다.
99식 소총,99식 소총은 사격 중 불순물이 가득 찬 총열 때문에 폭발 사고가 비일비재하게 발생하여 흔히 품질이 조악하다고 인식하지만 사실 그것은 편견이다.
99식 소총,"제2차 세계대전 당시 일본의 99식 소총, 소련의 M1891 모신-나강 소총 등은 모두 볼트 액션 방식이었다."
99식 소총,쓰라린 기억이지만 이처럼 99식 소총은 우리 현대사와 떼어놓고 생각할 수 없는 총이다.
