용어,내용
C-123J 수송기,"C-123의 개발은 제2차 세계대전 이후 미 공군(USAF)이 단거리 이착륙(STOL) 능력을 갖춘 전술 수송기를 필요로 하면서 시작되었다. 1948년 미국 체이스(Chase Aircraft) 사가 개발 중이던 XCG-20 글라이더를 기반으로 1950년 XC-123 및 XC-123A 시제기를 제작하였으나, 경영 문제로 인해 1953년 미국 페어차일드(Fai..."
500MD 다목적 헬기,"미국 맥도널 더글라스(McDonnell Douglas)사에서 개발한 다목적 경량 헬리콥터이다. 휴즈(Hughes)사에서 개발한 민간용 헬기인 휴즈-500(Hughes-500)을 군용으로 개량한 것이다. 1970년대 초반, 대한민국은 북한의 기갑전력에 대응할 공격형 헬기가 부족하여 미국의 500MD의 도입이 적합하다고 판단하였다. 다만 단순 수입이 아닌 국내..."
C-119G 수송기,"C-119 플라잉 박스카는 미국 페어차일드(Fairchild Aircraft)사에서 개발한 쌍발 프로펠러 군용 수송기로, 제2차 세계대전 당시 개발된 C-82 패킷(Packet)의 성능을 개선한 기체이다. 1947년 C-119A가 첫 비행에 성공한 후, 개량형인 C-119B가 1949년 실전 배치되었다. 이후 지속적인 개량을 거쳐 1953년부터 C-119G..."
B-52D 전략폭격기,"미국 보잉(Boeing)사에서 개발한 전략 폭격기로, 제2차 세계대전 종전 직후 전방 기지 없이도 대륙 간 작전이 가능한 폭격기를 미 공군이 요청함에 따라 설계를 시작하였다. 1952년 시제기 YB-52의 첫 비행 성공 후, B-52A 기체를 제작하여 시험 평가를 마쳤다. 첫 운용 기체인 B-52B가 1955년 실전 배치되었다. B-52D는 기존 기체들의 ..."
UH-1H 다용도 헬기,"미국 벨(Bell)사에서 개발한 다목적 헬리콥터이다. 1960년대 후반, 한국전쟁 이후 북한의 군사적 위협과 안보 상황을 고려해 한국군은 다목적 헬리콥터 도입을 추진하였다. 당시 UH-1 시리즈는 한국의 군사 요구를 충족할 수 있는 다목적 특성을 갖추고 있었다. 대한민국 육군은 1968년 UH-1D 6대로 제21기동항공중대를 창설하였고 1971년부터 개량형..."
T-103 훈련기,"T-103 훈련기는 러시아 일류신(Ilyushin) 설계국이 개발한 단발 프로펠러 항공기 IL-103을 기반으로 대한민국 공군이 도입한 초등훈련기이다. 1995년 개발된 IL-103은 내수용 모델이 러시아제 엔진을 탑재한 반면, 수출용 모델은 미국제 엔진을 장착하여 1998년 러시아 제작 항공기 중 최초로 미국 연방항공청(FAA) 감항인증(Airworthi..."
선양 J-6전투기,"중국 선양 항공기공업 유한공사가 생산한 1인승 초음속 전투기로 구소련 MiG-19 전투기의 면허생산 기종이다. 1959년 초도 비행에 성공하였으며 1962년부터 인민해방군 공군에 실전 배치되었다. 구소련의 MiG-19는 1968년 이후 생산 중단했으나 J-6는 1986년까지 약4,500여 기를 생산하였으며, 중국의 우방국에는 F-6라는 이름으로 수출되었다...."
1990년 기증유물(꽂을대/집),"1990년 기증유물로, 꽂을대/집(CLEANING ROD, M1)이다. 총신(gun's barrel)의 내부를 청소하는데 사용하는 화기 유지 도구이다. 6·25전쟁 당시 유엔군으로 참전한 콜롬비아 군이 사용한 것이다. 콜롬비아는 6·25전쟁 때 전투 부대를 파견한 16개국 중 하나로, 라틴아메리카의 유일한 참전국이다. 1개 보병대대와 1척의 프리깃함을 파견..."
1990년 기증유물(터키 사제 권총),"1990년 기증유물로,  6·25전쟁 당시 터키 제1여단 포병대대 관측하사관으로 근무한 병사가 사용하던 권총이다. 권총의 길이는 29.2cm, 구경 16cm이다. 터키는 6·25전쟁 당시 전투부대를 파견한 16개국 중 하나로, 육군 1개 여단을 파견하였다. 주요 전투는 군우리 전투, 금양장 전투 등이 있다...."
1990년 기증유물(의류대(衣類袋)),"1990년 기증유물로, 의류대(衣類袋 : DUFFEL BAG)이다. 기증자가 1950년 6·25전쟁에 대한민국 육군 공병 상사로 참전한 당시 의류 및 잡다한 물건을 담아 사용하였다...."
